feature0,feature1,feature2,feature3,True,Pred,Error
21960,655,14.3841275,28.768255,1.2476990999999997,1.522923614972971,0.2205856483930872
832,956,0.79587,1.59174,0.15754332,0.09215900967567561,0.41502432679674633
801,904,0.724556,1.449112,0.10780268000000001,0.11292918675675684,0.04755453905929636
1187,851,1.0105625,2.021125,0.12122565999999997,0.1300357649189193,0.0726752481192458
654,1095,0.7166775,1.433355,0.11311091999999999,0.12469639983783748,0.102425829776979
1921,968,1.860012,3.720024,0.22355929999999996,0.22746808970270263,0.017484352933215798
1296,801,1.0384965,2.076993,0.15625386,0.13824358427026992,0.1152629172151656
644,597,0.3847665,0.769533,0.11584316000000001,0.10063728908108135,0.13126257017607823
1157,747,0.8646525,1.729305,0.11064196000000001,0.12213008221621646,0.10383151397730526
3812,1000,3.8125,7.625,0.27020410000000006,0.41113969218893137,0.5215893918298474
3695,1018,3.762019,7.524038,0.37927758000000006,0.40248728398288347,0.06119450557262944
413,1022,0.422597,0.845194,0.10240164000000003,0.10610902572972991,0.03620435893145735
3476,1056,3.671184,7.342368,0.3849987200000001,0.3921491217837836,0.018572533913316525
4148,1030,4.272955,8.54591,0.45116903999999997,0.4422618380540553,0.01974249373570644
617,645,0.3982875,0.796575,0.2128768000000001,0.10382117362162183,0.5122945590049184
3246,884,2.869906,5.739812,0.3767087,0.3349277565405407,0.11091048191735237
2142,609,1.3047825,2.609565,0.16379652,0.14800526562162203,0.0964077526090174
928,934,0.867219,1.734438,0.11472465999999999,0.11527398156756732,0.00478817341944907
2179,1000,2.1795,4.359,0.26220469999999996,0.2541917054054066,0.03056007231980728
3651,998,3.644197,7.288394,0.4140471199999998,0.4039139701801803,0.024473421816868336
1369,418,0.572451,1.144902,0.10864515999999996,0.10268979772972986,0.05481479589399202
1403,384,0.538944,1.077888,0.1165697,0.10766186340540515,0.07641639803992674
9615,1067,10.2597385,20.519477,0.8662489400000001,0.8611843215675692,0.005846608519291105
24594,1000,24.5945,49.189,2.566712780000001,2.6991857894666555,0.051611933559100674
3977,1018,4.049095,8.09819,0.4360899200000001,0.4127485462837831,0.0535242220600214
