model_path,HW,CIN,latency
bnrelu_prior_B97ZX7.pt,14,541,0.12828205999999998
bnrelu_prior_TCGMSE.pt,14,494,0.17648578
bnrelu_prior_MCLNZO.pt,28,678,0.18340827999999998
bnrelu_prior_6JVF53.pt,3,151,0.07210004
bnrelu_prior_G2684F.pt,112,18,0.13263858000000003
bnrelu_prior_FYL4BO.pt,28,257,0.23496988
bnrelu_prior_FBFCZF.pt,14,34,0.06159902
bnrelu_prior_6MHJQA.pt,28,153,0.11131714000000001
bnrelu_prior_POVY0P.pt,112,121,0.3706341599999999
bnrelu_prior_MLYGSV.pt,28,461,0.23610256
bnrelu_prior_FOJAUA.pt,28,853,0.1624685
bnrelu_prior_IHX6WF.pt,14,470,0.10770412000000001
bnrelu_prior_9LUFW0.pt,112,557,3.5245450199999997
bnrelu_prior_XPMQOQ.pt,7,292,0.09363685999999997
bnrelu_prior_R1YI9D.pt,224,317,11.670112880000007
bnrelu_prior_0NXL8H.pt,1,207,0.008402159999999999
bnrelu_prior_N3LIHM.pt,56,246,0.34371409999999997
bnrelu_prior_4BMPI5.pt,56,147,0.21721432000000007
bnrelu_prior_4UWMXJ.pt,28,50,0.12544688
bnrelu_prior_0ZK95O.pt,7,79,0.11785916
bnrelu_prior_PQLMFD.pt,7,1764,0.22336535999999999
bnrelu_prior_HM9RAK.pt,28,222,0.15879964000000002
bnrelu_prior_K2VQK7.pt,112,238,1.3277962600000002
bnrelu_prior_HCHS83.pt,56,51,0.14972077999999997
bnrelu_prior_ES9ZHJ.pt,14,113,0.08329606
bnrelu_prior_VQNA4T.pt,28,506,0.24425863999999994
bnrelu_prior_F0FL8O.pt,56,156,0.31083138000000005
bnrelu_prior_29OBGW.pt,7,490,0.10743322
bnrelu_prior_WNBCKU.pt,7,215,0.13490446
bnrelu_prior_NPH692.pt,7,118,0.11595470000000001
bnrelu_prior_5M3ASZ.pt,7,506,0.11204926000000004
bnrelu_prior_K5WFZD.pt,7,47,0.07640573999999999
bnrelu_prior_PNZJC9.pt,14,201,0.11809003999999997
bnrelu_prior_M7CALK.pt,14,686,0.16771729999999996
bnrelu_prior_G02X8Q.pt,112,11,0.13086359999999997
bnrelu_prior_7LFKI7.pt,7,1181,0.11800106000000002
bnrelu_prior_MKCPMR.pt,56,85,0.25621051999999994
bnrelu_prior_VNQZQH.pt,56,222,0.40950659999999994
bnrelu_prior_81OXKJ.pt,56,200,0.41164303999999974
bnrelu_prior_I3JQ4W.pt,14,216,0.10976867999999998
bnrelu_prior_MI0M97.pt,28,67,0.11573782000000002
bnrelu_prior_OBIK6U.pt,28,74,0.11127023999999994
bnrelu_prior_8QMOHS.pt,14,89,0.08443958
bnrelu_prior_FP0VSQ.pt,28,517,0.15319824
bnrelu_prior_82GF3W.pt,14,208,0.11326939999999996
bnrelu_prior_IZY15K.pt,14,74,0.08909241999999999
bnrelu_prior_E7C8NZ.pt,14,1155,0.13863771999999996
bnrelu_prior_WYYC4D.pt,14,133,0.02870674
bnrelu_prior_3BDUHT.pt,224,154,4.011233580000001
bnrelu_prior_PEU8VH.pt,7,81,0.08169134000000002
bnrelu_prior_B0WVMW.pt,56,109,0.23234665999999998
bnrelu_prior_CX9CWA.pt,56,22,0.12768426
bnrelu_prior_S8KV91.pt,112,23,0.16432334
bnrelu_prior_D7O80K.pt,7,24,0.08257870000000002
bnrelu_prior_NP90RN.pt,14,127,0.12481686000000003
bnrelu_prior_6LHUGK.pt,56,44,0.11363525999999996
bnrelu_prior_LIH8GY.pt,224,240,10.145384780000002
bnrelu_prior_2IFWCX.pt,14,495,0.10638574000000003
bnrelu_prior_WLE1CF.pt,14,111,0.09057261999999999
bnrelu_prior_HDZPRN.pt,56,117,0.14374198000000005
bnrelu_prior_4GP2L4.pt,28,163,0.11081983999999999
bnrelu_prior_TMBOY8.pt,7,846,0.21441686000000001
bnrelu_prior_3UKJTT.pt,224,262,10.068331200000003
bnrelu_prior_EOES6M.pt,14,149,0.09734496
bnrelu_prior_T609TQ.pt,28,1886,0.7306557199999999
bnrelu_prior_F7GFWW.pt,112,98,0.6463280399999998
bnrelu_prior_4TCUPX.pt,14,23,0.08794740000000001
bnrelu_prior_ECSUN3.pt,7,609,0.15557674000000005
bnrelu_prior_MG4D1J.pt,7,16,0.11519473999999999
bnrelu_prior_B0IBZH.pt,7,679,0.11824691999999999
bnrelu_prior_3AJGX4.pt,7,519,0.08807124000000002
bnrelu_prior_UY39HD.pt,14,988,0.17397165999999997
bnrelu_prior_NTB05V.pt,28,1018,0.47818866000000015
bnrelu_prior_RCKUCA.pt,7,1017,0.11483067999999999
bnrelu_prior_ADNDLC.pt,1,62,0.007827559999999997
bnrelu_prior_8TWDYS.pt,28,143,0.12892754000000003
bnrelu_prior_C4GI5F.pt,224,15,0.3771264400000001
bnrelu_prior_XPMV0L.pt,7,73,0.08364266000000004
bnrelu_prior_O1GBBB.pt,112,499,2.937328279999999
bnrelu_prior_8AONEC.pt,14,150,0.08949596
bnrelu_prior_YJ3GHL.pt,14,99,0.09305724000000003
bnrelu_prior_14QXD1.pt,28,177,0.12581492
bnrelu_prior_71NGBH.pt,112,159,0.9498686400000002
bnrelu_prior_L9ASWZ.pt,7,502,0.09027108000000002
bnrelu_prior_KO0ZWR.pt,14,950,0.13523791999999998
bnrelu_prior_QGUCFM.pt,7,41,0.08243198
bnrelu_prior_9M6M7N.pt,14,150,0.13069894000000004
bnrelu_prior_V9L6L2.pt,56,320,0.36097577999999997
bnrelu_prior_Z5TA38.pt,14,13,0.07533909999999999
bnrelu_prior_4JF7YE.pt,56,83,0.20711720000000003
bnrelu_prior_9WB1H3.pt,28,139,0.13553723999999995
bnrelu_prior_SG7KEG.pt,14,448,0.12074432000000003
bnrelu_prior_O68VX2.pt,28,53,0.11940126
bnrelu_prior_K9A0DY.pt,14,2047,0.16503444
bnrelu_prior_C8S085.pt,56,45,0.11125944
bnrelu_prior_E5NFHX.pt,14,1144,0.13795741999999994
bnrelu_prior_OUKE44.pt,7,261,0.08822819999999996
bnrelu_prior_T05PF8.pt,14,110,0.023916180000000002
bnrelu_prior_CFUYGG.pt,14,60,0.08390181999999999
bnrelu_prior_6ZCQ4W.pt,7,106,0.1048542
bnrelu_prior_JBJI70.pt,112,14,0.13134089999999998
bnrelu_prior_4TXFB8.pt,28,695,0.17370588
bnrelu_prior_RD89D0.pt,7,212,0.1316227
bnrelu_prior_AHN1ZC.pt,14,58,0.0787897
bnrelu_prior_2YWJBC.pt,14,258,0.13505034
bnrelu_prior_LQ9OZM.pt,28,68,0.11653796
bnrelu_prior_NCWRA2.pt,14,184,0.10850800000000001
bnrelu_prior_WZ82HL.pt,14,394,0.12237426
bnrelu_prior_JD0DUO.pt,1,215,0.008373759999999997
bnrelu_prior_83US7I.pt,28,985,0.25198954
bnrelu_prior_WD4V0C.pt,14,521,0.13508698000000002
bnrelu_prior_V67W89.pt,7,80,0.08589744000000002
bnrelu_prior_HYZKT1.pt,28,164,0.09101786
bnrelu_prior_ML2KOJ.pt,56,102,0.24314425999999997
bnrelu_prior_XHP8E4.pt,28,28,0.08977049999999999
