model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_IV4F41.pt,7,65,65,3,1,0.03185,0.00065,0.12793096
dwconv-bn-relu_prior_2ZGJ4I.pt,7,68,68,3,1,0.03332,0.00068,0.12384330000000002
dwconv-bn-relu_prior_1FKFS2.pt,7,68,68,3,1,0.03332,0.00068,0.13189526
dwconv-bn-relu_prior_1WKPNV.pt,7,68,68,3,1,0.03332,0.00068,0.13068325999999994
dwconv-bn-relu_prior_8K632N.pt,7,68,68,3,1,0.03332,0.00068,0.4262775200000001
dwconv-bn-relu_prior_RIRH5W.pt,7,70,70,3,1,0.0343,0.0007,0.13662387999999995
dwconv-bn-relu_prior_FFFTWN.pt,7,70,70,3,1,0.0343,0.0007,0.13929321999999994
dwconv-bn-relu_prior_CUJUM3.pt,7,109,109,5,2,0.0347165,0.002834,0.12600579999999997
dwconv-bn-relu_prior_FPAP1Y.pt,7,110,110,5,2,0.035035,0.00286,0.12891512
dwconv-bn-relu_prior_A36HCR.pt,7,73,73,3,1,0.03577,0.00073,0.13686552000000005
dwconv-bn-relu_prior_FWPTR1.pt,7,73,73,3,1,0.03577,0.00073,0.13750582
dwconv-bn-relu_prior_RSDCJF.pt,7,74,74,3,1,0.03626,0.00074,0.29315075999999995
dwconv-bn-relu_prior_T7DELA.pt,14,74,74,3,2,0.03626,0.00074,0.23672356
dwconv-bn-relu_prior_KAH0OY.pt,7,75,75,3,1,0.03675,0.00075,0.13190626000000003
dwconv-bn-relu_prior_K4H4UY.pt,7,29,29,5,1,0.036946,0.000754,0.35740807999999996
dwconv-bn-relu_prior_RLMLJL.pt,14,76,76,3,2,0.03724,0.00076,0.3895683000000001
dwconv-bn-relu_prior_SESCJN.pt,7,77,77,3,1,0.03773,0.00077,0.14222039999999997
dwconv-bn-relu_prior_M9NC7O.pt,7,121,121,5,2,0.0385385,0.003146,0.44002340000000006
dwconv-bn-relu_prior_38W6XA.pt,14,20,20,3,1,0.0392,0.0002,0.1443874
dwconv-bn-relu_prior_QBW69X.pt,7,80,80,3,1,0.0392,0.0008,0.40060984
dwconv-bn-relu_prior_7709K4.pt,7,31,31,5,1,0.039494,0.000806,0.1492111
dwconv-bn-relu_prior_R809CJ.pt,14,31,31,5,2,0.039494,0.000806,0.13803542000000002
dwconv-bn-relu_prior_ZRKHAD.pt,7,81,81,3,1,0.03969,0.00081,0.14228565999999995
dwconv-bn-relu_prior_N70I20.pt,7,81,81,3,1,0.03969,0.00081,0.13942862
dwconv-bn-relu_prior_F6Z0D7.pt,14,81,81,3,2,0.03969,0.00081,0.14532154000000003
dwconv-bn-relu_prior_B8QLBU.pt,7,125,125,5,2,0.0398125,0.00325,0.1376627
dwconv-bn-relu_prior_PFIFY2.pt,7,82,82,3,1,0.04018,0.00082,0.13175247999999998
dwconv-bn-relu_prior_0ABY5A.pt,7,82,82,3,1,0.04018,0.00082,0.1406547
dwconv-bn-relu_prior_A86KEF.pt,14,84,84,3,2,0.04116,0.00084,0.13523197999999997
dwconv-bn-relu_prior_1RE7YX.pt,14,84,84,3,2,0.04116,0.00084,0.42776412
dwconv-bn-relu_prior_THI0G7.pt,7,87,87,3,1,0.04263,0.00087,0.14760006
dwconv-bn-relu_prior_MKICL2.pt,14,22,22,3,1,0.04312,0.00022,0.15567566
dwconv-bn-relu_prior_8TVZSR.pt,7,88,88,3,1,0.04312,0.00088,0.22721958
