model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
maxpool_prior_IDF0JM.pt,56,505,505,3,2,1.9815088599999993
maxpool_prior_ISYXMH.pt,56,52,52,3,2,0.59553312
maxpool_prior_W89RD5.pt,28,490,490,2,2,0.9901419199999998
maxpool_prior_2YP0YO.pt,14,492,492,2,2,0.24818640000000003
maxpool_prior_OEFZ97.pt,112,74,74,2,2,1.3843948599999996
maxpool_prior_KA1U0O.pt,112,58,58,2,2,1.3589069399999998
maxpool_prior_3EHOEB.pt,224,496,496,2,2,14.298345720000002
maxpool_prior_BW5BTV.pt,28,503,503,3,2,1.26282842
maxpool_prior_2G0FIK.pt,112,254,254,2,2,1.6797423800000002
maxpool_prior_09S65I.pt,224,836,836,2,1,92.38663543999999
maxpool_prior_GDK9WU.pt,28,242,242,3,2,0.61843928
maxpool_prior_FV2KWU.pt,112,252,252,2,1,5.11074276
maxpool_prior_NA5JTY.pt,112,148,148,2,2,1.44726068
maxpool_prior_QB3QMM.pt,28,495,495,3,2,1.0942428799999997
maxpool_prior_G0I3PE.pt,112,481,481,3,2,4.671172899999999
maxpool_prior_SLKYI2.pt,112,827,827,2,2,5.154317459999999
maxpool_prior_1LFPVB.pt,14,230,230,2,2,0.15057568
maxpool_prior_UZFZQ3.pt,14,67,67,2,2,0.09205479999999999
maxpool_prior_PRSLAD.pt,112,238,238,3,2,2.1697026799999994
maxpool_prior_W68SEH.pt,14,245,245,2,2,0.20003822
maxpool_prior_ZNNGHW.pt,112,502,502,3,2,4.67130768
maxpool_prior_VJF659.pt,14,511,511,3,2,0.34039593999999984
maxpool_prior_87K47A.pt,224,142,142,2,2,3.5144138399999996
maxpool_prior_GQT7HN.pt,14,503,503,3,1,1.1958455
maxpool_prior_GRT6MK.pt,14,255,255,2,2,0.12600266
maxpool_prior_O2SH14.pt,56,65,65,3,1,0.8299474000000001
maxpool_prior_6Z4807.pt,28,74,74,2,2,0.13921412
maxpool_prior_8UAC3E.pt,14,142,142,3,2,0.17061798
maxpool_prior_H3KGAN.pt,28,190,190,2,2,0.50045368
maxpool_prior_T18ZJ3.pt,28,495,495,3,1,1.7023826200000007
maxpool_prior_KF0VXR.pt,28,192,192,2,2,0.30549207999999994
maxpool_prior_28GFF2.pt,28,384,384,3,2,1.1584075799999995
maxpool_prior_WJYIVM.pt,56,514,514,2,2,2.0481684600000003
maxpool_prior_Z0YVM9.pt,14,51,51,2,2,0.08942292
maxpool_prior_TNDO86.pt,56,150,150,3,2,1.5661467399999995
maxpool_prior_0UBNFG.pt,28,41,41,3,2,0.13012823999999998
maxpool_prior_9FGAZ2.pt,56,367,367,3,1,3.0925766599999998
maxpool_prior_K266B9.pt,14,58,58,2,2,0.13133648
maxpool_prior_185DRZ.pt,112,29,29,3,2,1.11207172
maxpool_prior_FXA1TW.pt,14,492,492,3,2,0.3773729
maxpool_prior_HX25IJ.pt,112,50,50,3,2,0.9356248400000001
maxpool_prior_V37RCU.pt,224,75,75,2,2,2.2291823999999987
maxpool_prior_PHWRYK.pt,14,203,203,2,2,0.18278654
maxpool_prior_DXLYKR.pt,14,68,68,3,1,0.19648958
maxpool_prior_R8AJU8.pt,14,132,132,3,2,0.1520021
maxpool_prior_7407NA.pt,112,238,238,2,2,1.6650496799999996
maxpool_prior_9L81CP.pt,112,56,56,3,2,1.3662131799999995
maxpool_prior_8Z9FU6.pt,112,249,249,2,2,1.65503774
maxpool_prior_N6SSS7.pt,112,58,58,2,2,1.0539080399999998
maxpool_prior_573L7V.pt,28,253,253,2,2,0.67949526
maxpool_prior_X1ZXUJ.pt,56,234,234,2,2,1.1483702399999998
maxpool_prior_YN0W87.pt,56,506,506,2,2,1.8163834399999996
maxpool_prior_8XYSMB.pt,224,67,67,2,2,1.8972284999999998
maxpool_prior_L1EN8C.pt,56,199,199,3,2,1.22401236
maxpool_prior_PR20L3.pt,28,504,504,2,2,1.1306634600000003
maxpool_prior_WWWSXR.pt,112,127,127,2,2,1.4377720799999998
maxpool_prior_56Y2RN.pt,56,69,69,3,2,1.0198979599999998
maxpool_prior_2FUYTL.pt,14,60,60,3,2,0.09600721999999999
maxpool_prior_LZ2LQM.pt,56,240,240,3,2,1.4342316399999995
maxpool_prior_V2ZDFB.pt,112,841,841,2,2,4.852980719999998
maxpool_prior_7MDO4P.pt,224,152,152,3,2,5.779361039999999
maxpool_prior_AMIISP.pt,14,507,507,3,2,0.2632222600000001
maxpool_prior_3W5Q74.pt,112,493,493,3,2,4.39968652
maxpool_prior_YCP301.pt,28,231,231,2,2,0.34648892
maxpool_prior_FDY3F8.pt,224,136,136,3,2,5.131168159999999
maxpool_prior_TS47JJ.pt,224,136,136,2,2,3.6281856599999998
maxpool_prior_KCSFO4.pt,56,152,152,2,2,0.99696764
maxpool_prior_UYGE5Q.pt,56,839,839,2,2,1.6238515800000002
maxpool_prior_LVW3I5.pt,112,69,69,2,1,1.7045516600000001
maxpool_prior_DCT6XK.pt,28,149,149,2,2,0.33996656000000003
maxpool_prior_72C5UP.pt,14,49,49,3,2,0.09428646000000002
maxpool_prior_K73YMK.pt,28,506,506,2,2,1.03541116
maxpool_prior_KJK9DA.pt,112,239,239,3,2,2.2696542600000003
maxpool_prior_JYP6G7.pt,14,132,132,2,2,0.11102195999999999
maxpool_prior_TAY9JH.pt,224,233,233,3,2,8.584907800000002
maxpool_prior_3HC57I.pt,28,67,67,2,2,0.22550346
maxpool_prior_XF4NKR.pt,14,71,71,3,2,0.10424086
maxpool_prior_Z49TLE.pt,112,477,477,2,1,11.6372034
maxpool_prior_KF14YJ.pt,56,497,497,2,1,2.64469992
maxpool_prior_BV3KYW.pt,14,246,246,3,2,0.16498654000000004
maxpool_prior_D22MMV.pt,14,487,487,2,2,0.23788354
maxpool_prior_W39V19.pt,28,53,53,3,2,0.2658315600000001
maxpool_prior_GP06MD.pt,14,254,254,2,1,0.39481177999999995
maxpool_prior_AFO1OL.pt,112,249,249,3,2,2.2830771
maxpool_prior_X61W0M.pt,112,510,510,2,2,3.2353798199999995
maxpool_prior_9PXNVY.pt,14,836,836,2,1,1.17154568
maxpool_prior_X75BS3.pt,28,250,250,2,2,0.3663263600000001
maxpool_prior_YDX46J.pt,112,512,512,2,1,13.121298059999999
maxpool_prior_KOEKDU.pt,56,130,130,3,2,1.1450114800000002
