feature0,feature1,feature2,feature3,feature4,True,Pred,Error
28,235,235,3,2,0.3733610200000001,0.3058788897684686,0.18074230199909855
56,52,52,3,2,0.2788155799999999,0.23718254373223824,0.14932105396607204
224,33,33,3,2,1.40040508,1.2886416661081075,0.07980791807174292
14,55,55,3,2,0.08473130000000002,0.0851952325729729,0.00547533878239656
14,182,182,2,2,0.10379704000000001,0.1041466570270275,0.003368275502148114
112,495,495,2,2,1.5787340000000003,1.7565450033064152,0.11262885534004767
112,84,84,3,2,1.0648319200000003,1.136361264810807,0.06717430560384284
112,825,825,3,1,9.794893380000001,9.444465365162184,0.0357766033016091
224,144,144,2,2,1.70102906,2.0649018891963964,0.21391335265982842
56,149,149,3,2,0.56300568,0.5571108316036026,0.010470317806380412
28,34,34,3,2,0.10182258,0.0991380551891892,0.026364729815437804
14,240,240,2,2,0.11016057999999998,0.1255254331783776,0.1394768725652827
112,70,70,2,1,1.4883795600000003,1.4767014241756755,0.007846208143522713
112,505,505,3,2,1.8367311999999996,1.7301119540043755,0.058048366574066
112,80,80,2,2,0.99897582,0.9444714987904773,0.05456020067585084
14,242,242,2,2,0.11560607999999999,0.14501948365945908,0.25442782645565953
14,483,483,2,1,0.7556626400000002,0.4528540773423431,0.40071924510871276
56,57,57,2,2,0.07291573999999999,0.23899491671441409,2.2776862267929268
28,251,251,2,2,0.24771021999999995,0.29238703810643474,0.18035920401844863
28,52,52,3,1,0.24557439999999991,0.24447594729729707,0.004472993531503449
28,240,240,2,2,0.3829538400000002,0.25644286454594584,0.3303556779951712
28,1041,1041,3,2,1.00429908,0.9657392804710428,0.03839473748094757
14,100,100,2,2,0.09265775999999998,0.09545547647927971,0.030194087136142005
28,236,236,2,1,0.7389405599999996,0.8170398904864847,0.10569095095617045
56,504,504,2,2,1.21690138,1.1826018768964008,0.028185934922350966
14,362,362,3,2,0.14148266000000004,0.14347332929729786,0.014070058460152114
56,466,466,2,2,1.0845584199999996,1.2060976019459455,0.11206328742157197
14,54,54,3,2,0.09330013999999999,0.0853923505135136,0.0847564589558643
14,54,54,2,2,0.09492081999999998,0.08579358989257836,0.09615625009794074
14,24,24,2,1,0.09631506,0.11823981627027079,0.22763580555596183
28,152,152,3,2,0.21105848000000002,0.2004544160360359,0.05024230234181601
56,507,507,3,2,1.2992039,1.1990835927928023,0.07706281300971901
