model_path,HW,CIN1,CIN2,CIN3,CIN4,latency
concat_prior_PS868T.pt,56,520,1692,66,723,3.075451900000001
concat_prior_FWULTS.pt,56,1806,1018,956,537,5.763895240000002
concat_prior_JD8V9I.pt,14,7,930,223,0,0.18077341999999993
concat_prior_N87JWD.pt,14,5,1842,0,0,0.14702984000000002
concat_prior_HW0NXV.pt,14,508,79,0,0,0.11780866
concat_prior_PR1KNG.pt,14,447,507,0,0,0.18655092000000006
concat_prior_Y73U6R.pt,7,116,148,1181,843,0.18069486
concat_prior_SVC84O.pt,14,33,174,6,206,0.14751395999999997
concat_prior_FKD5QI.pt,7,47,534,495,517,0.021142759999999997
concat_prior_5A59BN.pt,56,25,1181,0,0,1.01343736
concat_prior_MG5G06.pt,14,999,784,12,0,0.19201079999999993
concat_prior_Y3ERDZ.pt,14,514,475,102,234,0.18403146000000004
concat_prior_0NUGGF.pt,56,551,137,132,0,0.6744502
concat_prior_I6QTEQ.pt,7,521,245,216,0,0.01204678
concat_prior_R3J33S.pt,56,63,167,26,321,0.32797024
concat_prior_CUC3MF.pt,7,685,108,87,162,0.11629224000000002
concat_prior_AE8K07.pt,7,265,187,45,260,0.01169476
concat_prior_OS6Q79.pt,28,251,190,175,122,0.3352414400000001
concat_prior_E68Q1R.pt,7,95,214,0,0,0.003635799999999999
concat_prior_C9NRHM.pt,7,524,984,0,0,0.10520453999999997
concat_prior_92KFFG.pt,14,460,1536,0,0,0.23333491999999997
concat_prior_BKDWFK.pt,14,168,688,39,175,0.19408869999999998
concat_prior_TLA52U.pt,14,88,769,8,817,0.16961982000000003
concat_prior_1QZSFA.pt,14,87,1406,71,0,0.14241681999999997
concat_prior_YEM7ZM.pt,7,129,46,41,210,0.004394859999999998
concat_prior_IWNNEC.pt,14,802,2015,147,509,0.18184748000000006
concat_prior_7KUQ1R.pt,7,55,538,158,0,0.013330040000000003
concat_prior_785O6Z.pt,14,38,2102,264,0,0.16704365999999995
concat_prior_7B7ZX9.pt,14,174,7,497,75,0.17535886
concat_prior_W5HGH1.pt,14,456,940,204,862,0.25016417999999996
concat_prior_POQVYK.pt,28,131,527,0,0,0.22156882000000003
