model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
avgpool_prior_C2P885.pt,14,255,255,3,2,0.12200738000000001
avgpool_prior_QYI17D.pt,56,256,256,2,2,0.9517875999999995
avgpool_prior_9H6RS9.pt,28,74,74,3,1,0.3076969799999999
avgpool_prior_T1MEHP.pt,14,73,73,3,2,0.08818354000000003
avgpool_prior_5XR0TF.pt,224,847,847,2,2,9.66631226
avgpool_prior_WLQV2A.pt,14,243,243,2,2,0.11582723999999998
avgpool_prior_FE9F2Q.pt,112,234,234,3,1,2.59577486
avgpool_prior_T8F5IE.pt,14,86,86,3,1,0.13892774000000002
avgpool_prior_NQBVXN.pt,56,504,504,2,2,1.21690138
avgpool_prior_DADC4L.pt,14,470,470,3,2,0.18336028000000007
avgpool_prior_ZL6CVP.pt,14,37,37,3,2,0.08479216
avgpool_prior_J23SIL.pt,56,237,237,2,2,0.7508349599999999
avgpool_prior_HGQY6Y.pt,112,142,142,3,2,0.9206763400000003
avgpool_prior_YEL1X7.pt,28,506,506,2,2,0.4203954400000001
avgpool_prior_1EY8TO.pt,112,53,53,2,1,1.2719412799999998
avgpool_prior_UMM64P.pt,28,505,505,2,2,0.53820584
avgpool_prior_Z845E1.pt,224,61,61,2,2,1.0389237200000006
avgpool_prior_ZPX2XR.pt,14,512,512,3,2,0.19902140000000001
avgpool_prior_NSVPW8.pt,56,1039,1039,3,2,1.49731536
avgpool_prior_XHGI2Q.pt,56,241,241,3,2,0.9360174800000002
avgpool_prior_55PBE9.pt,112,842,842,3,2,2.5913776200000007
avgpool_prior_NEA72I.pt,14,54,54,2,2,0.09492081999999998
avgpool_prior_SAVXNO.pt,112,141,141,3,1,1.5598609599999997
avgpool_prior_LWJHIT.pt,224,235,235,3,1,11.0231853
avgpool_prior_5L2UYF.pt,112,1054,1054,3,2,3.06071878
avgpool_prior_X87ZO1.pt,56,251,251,2,2,0.75858078
avgpool_prior_FPYYKL.pt,14,71,71,2,2,0.09179473999999999
avgpool_prior_54DB4T.pt,28,73,73,2,1,0.27570898000000005
avgpool_prior_3PXYIA.pt,224,36,36,3,1,1.7286134000000002
avgpool_prior_X7JHU9.pt,14,245,245,2,2,0.15439988000000002
avgpool_prior_KZRZQW.pt,28,53,53,3,2,0.11600961999999995
avgpool_prior_ILR1Y4.pt,112,67,67,2,2,0.8364516800000003
avgpool_prior_X7G25Q.pt,14,146,146,2,2,0.10713414000000004
avgpool_prior_UPQK28.pt,28,34,34,2,2,0.08798444
avgpool_prior_W0BVMB.pt,112,189,189,2,2,1.32318284
avgpool_prior_675Z9O.pt,56,44,44,3,1,0.8012131199999998
avgpool_prior_B9T3YT.pt,14,43,43,2,2,0.09936914
avgpool_prior_XX7JG1.pt,224,52,52,2,2,0.9680664999999999
avgpool_prior_JSF4BO.pt,14,491,491,3,2,0.1651373
avgpool_prior_SS34LQ.pt,14,191,191,2,2,0.10754938000000001
avgpool_prior_XTA9M5.pt,224,74,74,2,2,1.3665825600000003
avgpool_prior_W1JK73.pt,14,489,489,2,2,0.15240679999999998
avgpool_prior_6IM7SC.pt,112,1040,1040,3,2,3.117536359999999
avgpool_prior_TBADOQ.pt,56,36,36,3,2,0.18797893999999998
avgpool_prior_H5OLBP.pt,14,74,74,2,2,0.08343655999999999
avgpool_prior_SV9GMB.pt,14,198,198,3,2,0.11381934
avgpool_prior_99U8Y4.pt,28,237,237,3,2,0.25517876000000006
