feature0,feature1,feature2,feature3,feature4,True,Pred,Error
14,186,78,0,0,0.13085844,0.11805852108108124,0.09781500466396172
28,103,246,331,185,0.23386833999999998,0.36928170702702745,0.5790153854387793
56,153,160,0,0,0.38002694,0.3114757749729725,0.18038501435458093
14,7,24,33,45,0.00424908,0.0073978072972973,0.7410374239358403
28,64,70,675,86,0.27695835999999996,0.316483418162162,0.14271119370493843
28,288,84,854,0,0.28877648,0.31922615821621625,0.10544376126551666
14,220,90,51,0,0.13306369999999998,0.12812581794594632,0.037109159403005146
28,175,158,98,84,0.27757347999999993,0.3145621666486489,0.1332572789325874
7,184,47,0,0,0.021156840000000003,0.01339267616216215,0.36698126174976287
7,196,400,0,0,0.0049801,0.007109919513513516,0.42766601343617905
7,104,554,0,0,0.008677240000000001,0.006959460810810796,0.19796377525448242
14,173,447,543,139,0.22834362000000002,0.20704157691891922,0.09328941654284363
28,149,125,156,56,0.21732651999999997,0.2736922308108107,0.25935956095377
14,1145,84,350,20,0.20398520000000006,0.21271442508108085,0.04279342364583698
14,85,31,0,0,0.011559840000000002,0.013044058621621614,0.12839439141213133
28,45,246,257,0,0.20864530000000006,0.2673891435135127,0.2815488463603666
56,117,61,0,0,0.1991630000000001,0.24467039605405377,0.22849322441444275
14,25,33,313,437,0.19544274000000011,0.1895453851351351,0.03017433579198185
7,15,1769,133,0,0.13405381999999993,0.12447582167567568,0.07144890257005923
28,322,114,0,0,0.20527288,0.21285888643243234,0.0369557168605631
7,118,89,104,0,0.004041519999999998,0.01122283556756757,1.7768848273836515
7,203,96,0,0,0.009101360000000001,0.014917589513513485,0.6390505939237086
28,59,60,127,657,0.22344888000000007,0.2841002517297302,0.2714328741756508
7,178,81,0,0,0.01637848,0.011518255081081124,0.296744564753193
14,71,106,0,0,0.010195800000000001,0.012259650918918903,0.2024216754858767
7,638,745,0,0,0.12589915999999998,0.11991539859459481,0.047528207538518705
7,139,81,0,0,0.017085499999999997,0.014320387783783787,0.16183970127981098
7,425,115,0,0,0.006146359999999998,0.0072808853513513525,0.1845849171463036
28,101,316,74,0,0.20393118000000005,0.298263695135136,0.4625703393425956
28,379,289,116,75,0.28696383999999997,0.2561444275675674,0.10739824373841869
7,519,1175,0,0,0.13253557999999996,0.13925363064864885,0.05068865770722767
7,104,135,145,0,0.012801799999999999,0.008823091459459448,0.31079289947824146
7,109,265,27,0,0.011170139999999997,0.011555512270270298,0.034500218463716766
28,7,10,0,0,0.021958699999999998,0.010674045297297294,0.5139035873117582
56,50,95,113,40,0.24073548000000014,0.3066839180540544,0.2739456521076754
28,1378,270,116,121,0.45931419999999995,0.46645879032432414,0.015554908435933802
28,708,319,0,0,0.3397812600000001,0.298271415891892,0.12216637288386088
7,53,170,0,0,0.014872999999999996,0.018498203567567605,0.24374393650020915
7,35,48,0,0,0.01609434,0.016677593243243312,0.03623964966835007
7,689,113,203,360,0.1575987,0.16952785389189218,0.07569322520992983
7,653,27,0,0,0.007039120000000001,0.00885052259459456,0.25733367162295273
28,2717,71,10,131,0.48174334,0.462430710054053,0.04008904398335224
28,1019,677,59,1271,0.6636650000000001,0.49177883794594573,0.25899536973330567
14,256,10,0,0,0.08457822000000002,0.10764522659459459,0.27272986585192455
56,118,47,0,0,0.23045716,0.2401317145945944,0.041979839526766725
14,522,544,0,0,0.20525104,0.19009541821621598,0.07383943966268827
56,191,132,0,0,0.3535662199999998,0.32913794983783906,0.06909107482655094
56,581,89,137,0,0.32651622,0.47212511172972993,0.4459468865887578
14,119,85,0,0,0.009451199999999998,0.009463964998198172,0.0013506219525746576
56,56,115,115,66,0.5409439999999998,0.3310073069189194,0.38809320942848147
7,39,171,0,0,0.014595579999999992,0.017689578918918973,0.21198190951774326
28,123,124,364,82,0.23635178000000007,0.2952450681621622,0.24917641052740175
14,350,1232,78,0,0.18418668,0.20595674410810824,0.11819564861100841
28,230,94,55,75,0.3884568400000001,0.289698550108108,0.2542323360605313
14,124,102,92,193,0.14793391999999997,0.17877050637837866,0.20844838275345298
28,20,2290,0,0,0.41181197999999997,0.4061534774054064,0.01374050020252823
7,175,94,153,0,0.005712659999999998,0.00660144745945946,0.15558206850389528
14,484,61,116,0,0.18535794,0.17066147275675655,0.07928695821308461
7,140,86,99,0,0.009194900000000002,0.010735780486486492,0.16757990695782327
14,219,364,21,8,0.17891541999999994,0.19007103810810766,0.06235135075617142
56,1644,451,0,0,1.57502282,1.4967399320540533,0.04970270078115232
7,397,25,446,0,0.01363028,0.013377397243243258,0.018553012612854743
56,34,40,117,132,0.27600684,0.27829114394594573,0.008276258464992222
14,194,318,865,66,0.33956495999999986,0.2061508101621622,0.39289728197467055
7,53,100,96,0,0.007546739999999999,0.01042446962162163,0.3813208910896137
28,82,31,166,766,0.23012498000000012,0.2439556033513509,0.06010048692389148
7,59,120,109,0,0.012564899999999999,0.010836994432432414,0.1375184496150057
28,59,98,0,0,0.17959115999999994,0.18026790529729766,0.003768255059423419
14,218,265,0,0,0.17594268000000002,0.1737659527027028,0.012371798004311584
7,811,1320,0,0,0.16666542,0.1757092256756766,0.05426323994309429
28,865,203,47,354,0.5138355000000001,0.28751441243243264,0.4404543624711944
28,485,136,389,608,0.16866584000000004,0.32892572486486454,0.9501620770682698
14,113,231,0,0,0.11791626,0.11455952735135126,0.028467088836168424
7,224,22,320,1131,0.13849822000000003,0.12474660902702736,0.0992908859981931
28,195,54,0,0,0.14010184000000003,0.18646238691891961,0.33090605318902
7,233,43,51,0,0.0064620799999999985,0.00768473794594594,0.18920501540462853
14,138,4,687,0,0.15730463999999997,0.14398091064864837,0.08470016746709821
56,505,509,125,0,0.9461461999999998,0.8258340933513507,0.12716016472787095
14,566,1884,79,492,0.36965406,0.2152372320000004,0.41773334776845034
28,24,94,0,0,0.11813847999999996,0.11653326265945955,0.013587590940228857
56,121,118,113,75,0.32589974000000005,0.43900688286486605,0.3470611632426156
7,242,37,23,0,0.013789959999999999,0.008749469999999987,0.3655188267406151
7,45,742,55,732,0.14315402,0.18924308989189206,0.321954422878883
7,32,28,304,0,0.007577080000000002,0.0077811232432432416,0.026929007380579306
14,937,88,318,15,0.09066372000000004,0.20229580800000005,1.2312762811850204
7,332,6,0,0,0.016815179999999996,0.011846096756756736,0.2955117485060083
28,241,159,57,0,0.31844508,0.23965274205405407,0.24742834132009803
14,123,52,0,0,0.01024032,0.008692413729729714,0.15115799801864463
56,211,78,136,0,0.26563592,0.28401485897297324,0.06918845528486212
14,501,62,540,0,0.2594976,0.2101688988108108,0.19009309214878747
28,172,65,198,91,0.44600855999999994,0.24599081908108086,0.4484616638723685
56,209,233,0,0,0.43013233999999995,0.3606692967567565,0.1614922589713748
7,8,49,194,101,0.00413264,0.007449633891891913,0.8026331574712323
28,127,54,0,0,0.19281613999999997,0.18911381243243225,0.019201336400405698
14,66,84,0,0,0.011413840000000001,0.007989601027027038,0.3000076199572592
28,555,63,893,174,0.3596256799999999,0.39966238021621603,0.11132881338233729
56,806,134,128,0,0.6327590200000001,0.6580955074054057,0.04004128997703678
56,828,9,93,2112,3.4581443000000003,2.07387210972973,0.40029335683599737
7,7,60,203,92,0.007069760000000001,0.007494841891891912,0.060126778262898715
14,206,179,1014,0,0.23998196000000005,0.19497680140540566,0.18753559056936772
28,1315,517,0,0,0.4413257200000001,0.3126234290810799,0.29162653588129916
28,1189,553,0,0,0.39711912000000005,0.3692074496216209,0.07028538534830345
28,89,191,84,76,0.21575439999999996,0.2985576952432436,0.38378496681061275
14,124,77,143,81,0.020151080000000002,0.027697373513513573,0.3744858098679361
14,133,85,0,0,0.0112055,0.010744502163963965,0.04114031823979608
7,260,66,596,0,0.015125140000000006,0.013884318594594613,0.08203701951885353
14,44,117,0,0,0.014925260000000003,0.010507474040540548,0.29599390291756755
28,66,192,150,0,0.22018387999999994,0.19605170502702646,0.1096000986674115
7,387,9,226,254,0.013576919999999998,0.01243166356756758,0.08435318411189115
28,213,220,0,0,0.24208327999999996,0.19664574600000054,0.18769381346782574
14,96,76,154,498,0.15737843999999998,0.18443989140540512,0.17195145285088062
28,91,121,707,65,0.30984058000000014,0.3063679407567562,0.011207825789778482
7,69,86,0,0,0.014134959999999998,0.014721683756756804,0.04150869593948661
14,107,701,154,278,0.16206257999999996,0.1516066374594594,0.0645179321502876
7,369,74,164,256,0.011690279999999999,0.012754518540540542,0.09103618908533785
7,36,78,0,0,0.01803374,0.015799213243243248,0.12390811649478986
28,23,174,0,0,0.13765576,0.14035865427027075,0.019635170153946058
