model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_I3TKHN.pt,14,84,6,1,1,0.09996,0.00051,0.045069560000000015
conv-bn-relu_prior_6BGMKS.pt,7,20,389,1,2,0.10007025,0.008169,0.09227024
conv-bn-relu_prior_QSG7IX.pt,8,52,121,1,2,0.102608,0.006413,0.15851280000000004
conv-bn-relu_prior_WFOSY8.pt,1,764,61,3,2,0.10487425,0.419497,0.09723685999999997
conv-bn-relu_prior_LZ9MCG.pt,13,11,52,1,1,0.105456,0.000624,0.08027358
conv-bn-relu_prior_GIKFJF.pt,7,145,15,1,1,0.10731,0.00219,0.04545941999999999
conv-bn-relu_prior_FTLV01.pt,8,255,27,1,2,0.110592,0.006912,0.05979254
conv-bn-relu_prior_HTXEXF.pt,27,17,9,1,1,0.118098,0.000162,0.07765778
conv-bn-relu_prior_5459V7.pt,1,63,219,3,1,0.124392,0.124392,0.11548374
conv-bn-relu_prior_MDRH9N.pt,7,207,49,1,2,0.124852,0.010192,0.09540155999999998
conv-bn-relu_prior_T2UBL5.pt,14,116,22,1,2,0.126126,0.002574,0.12951209999999994
conv-bn-relu_prior_CSV6KP.pt,14,77,9,1,1,0.137592,0.000702,0.09141806
conv-bn-relu_prior_GLEGDN.pt,7,234,48,1,2,0.13818,0.01128,0.09840077999999997
conv-bn-relu_prior_YTZY4L.pt,3,55,31,3,1,0.138384,0.015376,0.11750643999999998
conv-bn-relu_prior_9HQLUK.pt,1,24,231,5,1,0.138831,0.138831,0.12152126
conv-bn-relu_prior_DVELQ3.pt,8,272,8,1,1,0.139776,0.002184,0.09706779999999998
conv-bn-relu_prior_C110IJ.pt,1,70,224,3,1,0.141344,0.141344,0.13230701999999997
conv-bn-relu_prior_KD6G7F.pt,27,38,5,1,1,0.142155,0.000195,0.13834836
conv-bn-relu_prior_QWW7EV.pt,27,48,16,1,2,0.142884,0.000784,0.13322475999999997
conv-bn-relu_prior_P0X2J4.pt,3,192,86,1,1,0.149382,0.016598,0.10115327999999994
conv-bn-relu_prior_HQ01RG.pt,14,16,47,1,1,0.156604,0.000799,0.08957539999999999
conv-bn-relu_prior_OM9P9Y.pt,7,147,22,1,1,0.159544,0.003256,0.12923555999999997
conv-bn-relu_prior_ZZ2O32.pt,3,134,134,1,1,0.16281,0.01809,0.09636384000000002
conv-bn-relu_prior_PZ15QY.pt,3,184,98,1,1,0.16317,0.01813,0.09771176000000001
conv-bn-relu_prior_TEOQUL.pt,7,168,79,1,2,0.16354975,0.013351,0.10835182000000004
conv-bn-relu_prior_Q23XVJ.pt,8,22,13,3,1,0.165568,0.002587,0.11230397999999996
conv-bn-relu_prior_6C1IAG.pt,7,149,23,1,1,0.16905,0.00345,0.14262131999999997
conv-bn-relu_prior_50NAI8.pt,1,195,99,3,1,0.173844,0.173844,0.11469090000000003
conv-bn-relu_prior_WCYQR3.pt,8,135,20,1,1,0.17408,0.00272,0.103163
conv-bn-relu_prior_7T5UZ9.pt,14,128,7,1,1,0.176988,0.000903,0.13014222000000006
conv-bn-relu_prior_SH0HVG.pt,13,9,105,1,1,0.17745,0.00105,0.23834359999999996
conv-bn-relu_prior_3KR1EW.pt,1,186,106,3,1,0.17755,0.17755,0.10346423999999999
conv-bn-relu_prior_Q7H0A5.pt,13,40,26,1,1,0.180154,0.001066,0.10005097999999998
conv-bn-relu_prior_WDJ9XO.pt,13,32,130,1,2,0.1812525,0.00429,0.11267363999999999
conv-bn-relu_prior_LSTLE1.pt,13,17,60,1,1,0.18252,0.00108,0.11193213999999997
conv-bn-relu_prior_1R2MGF.pt,7,140,107,1,2,0.18481575,0.015087,0.10428255999999997
conv-bn-relu_prior_33J0T7.pt,13,54,20,1,1,0.1859,0.0011,0.09522838000000004
