feature0,feature1,feature2,feature3,True,Pred,Error
3926,4093,16.0711645,32.142329,1.5867361400000002,1.5291650720000025,0.03628269789077702
562,1000,0.5625,1.125,0.10965903999999999,0.1228611784864863,0.12039261411085045
3793,1000,3.7935,7.587,0.4456994599999999,0.35773994388599334,0.19735163267643754
25003,1000,25.0035,50.007,2.7016501399999995,2.767796304783773,0.024483616070204252
4077,1000,4.0775,8.155,0.3357747200000001,0.4296858265543767,0.2796848629771074
1197,1065,1.2753375,2.550675,0.14946099999999998,0.14432468697297318,0.034365573808731384
4047,1001,4.0515475,8.103095,0.4270955,0.41294743823423286,0.03312622531908475
24507,1012,24.80159,49.60318,2.6513630200000007,2.627282281211713,0.009082399734264805
4019,1000,4.0195,8.039,0.39048233999999993,0.3940898393513508,0.00923857235477244
4063,1000,4.0635,8.127,0.43017286,0.4151491528481338,0.034924814066294614
1989,1000,1.9895,3.979,0.24960429999999995,0.2552629695675678,0.022670561234593444
1642,1000,1.6425,3.285,0.19804182,0.1911191871351348,0.03495540924066048
4164,1002,4.172829,8.345658,0.40179436,0.43438140545945914,0.08110379015638526
1346,1000,1.3465,2.693,0.16941843999999995,0.16932736470270224,0.0005375760590034371
4055,1000,4.0555,8.111,0.42895851999999995,0.42228426329729823,0.01555921235158523
24636,4053,99.8517345,199.703469,9.90905098,10.001920341297271,0.009372175144190401
921,1000,0.9215,1.843,0.12144943999999996,0.11827649183783782,0.026125671408300775
3794,1069,4.0563205,8.112641,0.4634704199999999,0.3527561924324317,0.2388808924797578
2340,1000,2.3405,4.681,0.21975713999999996,0.12211535389189192,0.4443167858305221
3860,1000,3.8605,7.721,0.37467034000000005,0.4234751277297297,0.13026061184808388
1001,1000,1.0015,2.003,0.1639925,0.13486248767567607,0.17763014969784555
3996,1000,3.9965,7.993,0.40562806,0.4072810991891893,0.00407525847494204
3991,4020,16.04583,32.09166,1.6372060000000004,1.6892503431351333,0.031788512340617456
24524,1000,24.5245,49.049,2.80271234,2.4256960340585536,0.13451837370561054
3663,1076,3.941926,7.883852,0.39917046000000006,0.3888383277297298,0.025884010230291698
1990,1000,1.9905,3.981,0.24569518,0.25585684383783813,0.04135882453143004
24698,1056,26.081616,52.163232,2.9598205200000005,2.741294996472972,0.07383066711323037
646,1000,0.6465,1.293,0.11160909999999997,0.12810928237837813,0.1478390416048347
823,1061,0.8737335,1.747467,0.023649020000000007,0.1139485487027023,3.818320112321875
3806,1037,3.9473405,7.894681,0.42614304,0.4095618018108102,0.03891002933942034
3649,1000,3.6495,7.299,0.41264731999999993,0.39241530667567603,0.049029794557550736
1871,1050,1.965075,3.93015,0.21686104,0.23933077891891888,0.10361353481897381
1848,4087,7.5548195,15.109639,0.59605894,0.5897617268648624,0.010564749075213344
972,4072,3.96002,7.92004,0.16761961999999997,0.4175217079459446,1.4908880472700314
1825,1000,1.8255,3.651,0.21530219999999997,0.2029926102702699,0.057173543650413536
24566,1034,25.401761,50.803522,2.82034008,2.6900154771351374,0.0462088255912962
1099,1000,1.0995,2.199,0.13182704,0.16923016437837776,0.2837287735382495
4152,1000,4.1525,8.305,0.44934663999999996,0.20009859291891932,0.5546899095119097
3949,4040,15.95598,31.91196,1.82455668,1.6058717268108107,0.11985648655715603
3592,1000,3.5925,7.185,0.39777762000000005,0.41576176237631907,0.04521154904672367
1296,1000,1.2965,2.593,0.15433780000000002,0.1334738912432441,0.1351834013233046
24871,4089,101.6995635,203.399127,10.03393826,10.010123432324317,0.0023734277667044803
24575,1000,24.5755,49.151,2.6203999600000003,2.5250287751891993,0.0363956595430573
601,1000,0.6015,1.203,0.11729516000000001,0.12068511302406731,0.028901047784642645
1780,1000,1.7805,3.561,0.20746952000000007,0.23147985126113246,0.11572943949131603
719,1000,0.7195,1.439,0.11998134,0.09185232875675699,0.23444488320636372
3636,1000,3.6365,7.273,0.3694730400000001,0.3858496637677609,0.04432427266617567
798,4066,3.246701,6.493402,0.1409102,0.34701442740540595,1.4626636496535093
3945,1000,3.9455,7.891,0.39135226,0.4381113119387403,0.1194807254690194
849,1000,0.8495,1.699,0.12236552000000003,0.12039955632432439,0.01606632060792649
953,1000,0.9535,1.907,0.12066297999999998,0.11440256805405435,0.05188345212380485
1915,1000,1.9155,3.831,0.17689924,0.22450087189189205,0.269088956469751
1468,1000,1.4685,2.937,0.17938828,0.17513980529729659,0.02368312301507894
1895,1054,1.997857,3.995714,0.26355759999999995,0.24246717589189137,0.0800220676926356
24575,4026,98.940963,197.881926,10.075804660000001,9.894555810810745,0.0179885235279319
