feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
14,254,185,1,1,9.2463,0.047175,0.17638409999999996,0.2377471924324325,0.347894693639804
56,199,117,1,2,18.3456,0.0234,0.25815850000000007,0.5304706918918933,1.0548255892867877
13,499,99,7,1,409.106412,2.420748,2.0961568199999996,1.5897150456216247,0.2416049073935103
27,635,140,1,1,64.91016,0.08904,1.0025921600000003,1.0283744892972981,0.02571567016572106
28,1184,193,5,1,4478.986512,5.712993,13.06843706,14.433206380594601,0.10443248219574013
13,528,138,1,1,12.337338,0.073002,0.41495417999999984,0.21760216162162158,0.4755995430106966
56,264,204,7,1,8276.368128,2.639148,24.225738879999994,25.14762392427031,0.038053949513647004
27,974,49,1,1,34.827975,0.047775,0.9999118199999997,0.4872869806486483,0.5126700465960604
56,173,160,1,1,87.30624,0.02784,1.20181318,1.230904800486482,0.02420644154233851
56,15,173,3,1,73.783808,0.023528,0.45401088000000006,1.1074577796756768,1.4392758598112818
27,158,91,3,1,94.400397,0.129493,0.97805336,0.9834483209729744,0.005516019057461678
56,252,27,5,1,533.518272,0.170127,2.0134923,2.1449305000540577,0.06527871999016731
112,496,229,1,1,1427.670272,0.113813,7.259146579999996,8.29731060999998,0.14301461178098782
14,361,165,1,1,11.70708,0.05973,0.15103676,0.20767155454053993,0.37497357954805133
8,183,50,1,1,0.5888,0.0092,0.09219041999999998,0.1010978402702703,0.09661980355735793
14,128,464,5,1,291.111744,1.485264,1.0368548199999994,1.235644617135136,0.1917238491837621
14,215,206,7,1,425.401536,2.170416,1.5080492799999996,1.455543477567564,0.03481703358688361
56,101,91,7,2,353.1528,0.45045,1.4414086400000001,1.661888918540541,0.1529616740333545
27,161,350,3,1,369.9675,0.5075,1.2181413999999997,1.3681948183243278,0.12318226629874668
28,204,258,1,1,41.46576,0.05289,0.29711883999999994,0.6822317935675681,1.2961579735824502
27,269,114,1,1,22.43862,0.03078,0.3095958,0.2782072409189187,0.10138561014419864
112,187,124,1,1,292.425728,0.023312,2.17223728,2.1242367662162223,0.02209727004767075
27,16,12,3,1,1.26846,0.00174,0.12285504,0.1583700921621625,0.28908095396137184
27,1046,19,1,1,14.501997,0.019893,0.35755891999999995,0.4037473234054059,0.1291770413821755
7,1179,153,1,1,8.84646,0.18054,0.17782272000000002,0.2546638981621626,0.4321223866228263
13,231,116,1,1,4.548128,0.026912,0.14599938,0.16479763486486504,0.12875571707814804
27,365,30,7,1,391.16682,0.53658,1.4834116000000004,2.237591882810818,0.5084093199829482
7,225,362,3,1,35.937188,0.733412,1.0072498,0.7926656554054075,0.21303964974189382
28,84,355,1,1,23.6572,0.030175,0.3185033,0.45404741054054104,0.4255657964628343
14,111,81,3,1,15.876,0.081,0.21991666,0.25810443324324306,0.173646567946435
13,132,183,5,1,102.090027,0.604083,1.1014267,1.0532193290270278,0.04376811545695436
7,120,508,3,1,26.908252,0.549148,0.6775716600000001,0.7545516035675685,0.11361151611265487
14,20,968,1,1,3.984288,0.020328,0.23511699999999996,0.2272188018378376,0.03359262904070043
112,598,222,1,1,1668.076032,0.132978,8.167795060000001,8.872925471243224,0.08633057098805598
56,179,1240,5,1,17405.55264,5.55024,44.943657239999986,48.58441897140532,0.08100724228924222
56,15,84,3,1,35.825664,0.011424,0.45132344,0.7005605718378396,0.5522361786435014
56,207,31,7,1,986.159104,0.314464,3.2326454399999993,3.7234149891351414,0.15181669572000514
