model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_746FLR.pt,881,1000,0.8815,1.763,0.11663961999999999
fc_prior_D20PL9.pt,893,1000,0.8935,1.787,0.12389879999999996
fc_prior_UPGGM0.pt,894,1000,0.8945,1.789,0.11580410000000003
fc_prior_O443SD.pt,896,1000,0.8965,1.793,0.12090239999999998
fc_prior_DBP4GQ.pt,900,1000,0.9005,1.801,0.11685737999999996
fc_prior_7HA1MD.pt,902,1000,0.9025,1.805,0.10539325999999999
fc_prior_5WIZG7.pt,903,1000,0.9035,1.807,0.13724784
fc_prior_98IO6V.pt,904,1000,0.9045,1.809,0.10721117999999999
fc_prior_K3OMTK.pt,912,1000,0.9125,1.825,0.11735182000000002
fc_prior_4VSO5K.pt,913,1000,0.9135,1.827,0.12673457999999996
fc_prior_5GJQDO.pt,915,1000,0.9155,1.831,0.11473834
fc_prior_IJNZPH.pt,916,1000,0.9165,1.833,0.11817413999999996
fc_prior_NSQDWI.pt,919,1000,0.9195,1.839,0.12061306
fc_prior_833UYD.pt,921,1000,0.9215,1.843,0.12144943999999996
fc_prior_6YKJHL.pt,923,1000,0.9235,1.847,0.11753130000000002
fc_prior_24LFE6.pt,931,1000,0.9315,1.863,0.15302834000000004
fc_prior_I9LTWB.pt,939,1000,0.9395,1.879,0.12714868
fc_prior_W6IHWI.pt,940,1000,0.9405,1.881,0.026524040000000006
fc_prior_BZNG6Z.pt,950,1000,0.9505,1.901,0.11956721999999997
fc_prior_BBOL3A.pt,953,1000,0.9535,1.907,0.12066297999999998
fc_prior_H7BJ8Y.pt,954,1000,0.9545,1.909,0.12114314
fc_prior_JB27RC.pt,962,1000,0.9625,1.925,0.10993463999999997
fc_prior_7SVARS.pt,977,1000,0.9775,1.955,0.11518713999999998
fc_prior_OGY75S.pt,981,1000,0.9815,1.963,0.13846102000000002
fc_prior_LNXTI3.pt,985,1000,0.9855,1.971,0.11402023999999997
fc_prior_3CEJMS.pt,986,1000,0.9865,1.973,0.12195299999999998
fc_prior_H4W9D0.pt,1001,1000,1.0015,2.003,0.1639925
fc_prior_A10T19.pt,1009,1000,1.0095,2.019,0.14529808000000002
fc_prior_YTTDC6.pt,1011,1000,1.0115,2.023,0.14361044
fc_prior_FIABLO.pt,1013,1000,1.0135,2.027,0.16638714000000004
fc_prior_S55K87.pt,1024,1000,1.0245,2.049,0.12839396
fc_prior_U0191X.pt,1029,1000,1.0295,2.059,0.13648844000000002
fc_prior_4RDPFN.pt,1031,1000,1.0315,2.063,0.14554957999999998
fc_prior_9RTUFG.pt,1037,1000,1.0375,2.075,0.13630236
fc_prior_EX7EJT.pt,1050,1000,1.0505,2.101,0.19269192000000002
fc_prior_PNEEH4.pt,1071,1000,1.0715,2.143,0.17467098000000003
fc_prior_WNIWSK.pt,1075,1000,1.0755,2.151,0.16670916000000002
fc_prior_706OK8.pt,1076,1000,1.0765,2.153,0.1308298
fc_prior_FMYQZ5.pt,1078,1000,1.0785,2.157,0.12671834
fc_prior_JWFP5Z.pt,1086,1000,1.0865,2.173,0.28696382000000004
fc_prior_MZYM0W.pt,1090,1000,1.0905,2.181,0.12894083999999995
fc_prior_TYG4Z3.pt,1091,1000,1.0915,2.183,0.13516849999999997
fc_prior_TD777T.pt,1098,1000,1.0985,2.197,0.13289889999999996
fc_prior_LBJUQY.pt,1099,1000,1.0995,2.199,0.13182704
fc_prior_NV2R8G.pt,1101,1000,1.1015,2.203,0.17622065999999997
fc_prior_2P0T4W.pt,1109,1000,1.1095,2.219,0.13901483999999995
fc_prior_J5LWJK.pt,1111,1000,1.1115,2.223,0.17834953999999997
fc_prior_EPTZKF.pt,1114,1000,1.1145,2.229,0.14423876000000002
fc_prior_YXCZ25.pt,1117,1000,1.1175,2.235,0.13244818000000003
fc_prior_5Z0V29.pt,1119,1000,1.1195,2.239,0.12447122000000001
fc_prior_7Z38Q4.pt,1122,1000,1.1225,2.245,0.13058357999999998
fc_prior_CITRUZ.pt,1164,1000,1.1645,2.329,0.13141318
fc_prior_U33H26.pt,1182,1000,1.1825,2.365,0.16365972000000004
fc_prior_3Q6TP3.pt,1191,1000,1.1915,2.383,0.14031762
fc_prior_FOULDW.pt,1195,1000,1.1955,2.391,0.14898685999999997
fc_prior_8FPF37.pt,1213,1000,1.2135,2.427,0.15495121999999997
fc_prior_TBEF5Y.pt,1235,1000,1.2355,2.471,0.15077963999999996
fc_prior_96H5UU.pt,1237,1000,1.2375,2.475,0.14644396
fc_prior_GCZJ8T.pt,1286,1000,1.2865,2.573,0.12631048
fc_prior_6E5AQ1.pt,1288,1000,1.2885,2.577,0.13011559999999997
fc_prior_84HIUQ.pt,1296,1000,1.2965,2.593,0.15433780000000002
fc_prior_7S3BV2.pt,1309,1000,1.3095,2.619,0.15722119999999998
fc_prior_S684RA.pt,1344,1000,1.3445,2.689,0.15807468
fc_prior_G0W5I2.pt,1346,1000,1.3465,2.693,0.16941843999999995
fc_prior_JT5I11.pt,1359,1000,1.3595,2.719,0.16183398000000002
fc_prior_AK2NB1.pt,1401,1000,1.4015,2.803,0.17116519999999993
fc_prior_N8TWIU.pt,1405,1000,1.4055,2.811,0.16983248
fc_prior_QNFF7I.pt,1423,1000,1.4235,2.847,0.16292354000000003
fc_prior_06TCRQ.pt,1440,1000,1.4405,2.881,0.19290125999999996
fc_prior_P8DEVS.pt,1456,1000,1.4565,2.913,0.19494071999999998
fc_prior_BHU5LW.pt,1468,1000,1.4685,2.937,0.17938828
fc_prior_OB703T.pt,1471,1000,1.4715,2.943,0.17322991999999998
fc_prior_F8WIRM.pt,1480,1000,1.4805,2.961,0.18194281999999995
fc_prior_WX04EF.pt,1495,1000,1.4955,2.991,0.1910173
fc_prior_E3OGCV.pt,1508,1000,1.5085,3.017,0.19258077999999998
fc_prior_WPPO3I.pt,1518,1000,1.5185,3.037,0.17185993999999993
fc_prior_VZD0V6.pt,1523,1000,1.5235,3.047,0.19554025999999997
fc_prior_VDJ5L4.pt,1530,1000,1.5305,3.061,0.18293986
fc_prior_BP61US.pt,1533,1000,1.5335,3.067,0.18837802000000003
fc_prior_RSIE9M.pt,1538,1000,1.5385,3.077,0.18726702
fc_prior_E2AL4O.pt,1542,1000,1.5425,3.085,0.18574099999999993
fc_prior_6MJW0G.pt,1554,1000,1.5545,3.109,0.18984647999999996
fc_prior_RSIGQ9.pt,1567,1000,1.5675,3.135,0.18442805999999995
fc_prior_BDXZJE.pt,1579,1000,1.5795,3.159,0.24487006
fc_prior_IX4UZ8.pt,1602,1000,1.6025,3.205,0.15707616
fc_prior_643V7X.pt,1617,1000,1.6175,3.235,0.19678011999999995
fc_prior_HVTKCD.pt,1629,1000,1.6295,3.259,0.2017299
fc_prior_N721BE.pt,1642,1000,1.6425,3.285,0.18564703999999996
fc_prior_5EUXV8.pt,1642,1000,1.6425,3.285,0.19804182
fc_prior_DTOHJA.pt,1660,1000,1.6605,3.321,0.19487063999999996
fc_prior_Q9I404.pt,1680,1000,1.6805,3.361,0.15140388
fc_prior_2AB5X5.pt,1703,1000,1.7035,3.407,0.22092806000000004
fc_prior_92YINS.pt,1717,1000,1.7175,3.435,0.20236822000000004
fc_prior_9KO7TH.pt,1727,1000,1.7275,3.455,0.20805248000000007
fc_prior_3TPGSS.pt,1740,1000,1.7405,3.481,0.21427714
fc_prior_SAJI5Q.pt,1742,1000,1.7425,3.485,0.2862292799999999
fc_prior_CD1GZK.pt,1744,1000,1.7445,3.489,0.2249142
