feature0,feature1,True,Pred,Error
14,192,0.0034394399999999993,0.003465185411389956,0.007485349763320944
14,88,0.00345906,0.005199553396396374,0.5031694727458831
14,524,0.00347262,0.0034290938624839088,0.012534091699089244
14,132,0.0034827800000000013,0.004109199854118401,0.17986202232653212
56,986,0.003491920000000001,0.003425304632818527,0.019077002675168365
28,46,0.010330919999999997,0.004180418956048904,0.5953488212038323
112,510,0.0034463400000000004,0.0034416851711711813,0.0013506586201068808
7,702,0.00339432,0.005021025999999979,0.4792435598293557
7,844,0.00538434,0.0037302819459459615,0.3071979210179963
7,504,0.006811240000000001,0.004388526864864884,0.3556934031299906
14,122,0.0034507800000000005,0.005349641478356927,0.5502702224879378
28,978,0.0034928199999999993,0.003432600646846863,0.017240897942961943
14,532,0.0034387400000000013,0.0034317362449163267,0.002036721323413407
112,974,0.0034136799999999997,0.0034310980270270243,0.005102419391104223
7,226,0.012951380000000004,0.004391087594594617,0.6609560066499002
28,196,0.0034372599999999997,0.0034457778519948593,0.002478093596312072
14,40,0.004905159999999999,0.010399658634620328,1.1201466689405302
28,36,0.0034411800000000003,0.0034721682665165197,0.009005128042276015
56,536,0.0034344399999999995,0.0035068899702702626,0.021095133491999585
56,1150,0.0035310999999999993,0.003457735175675681,0.020776762007396636
14,236,0.0034940400000000003,0.003469735506327765,0.0069559860998257604
56,152,0.0034933599999999996,0.003470741642471041,0.006474671241715298
14,18,0.00522222,0.008356725574774774,0.6002247271801598
14,500,0.0034000799999999998,0.0034330665366795452,0.009701694277648016
28,1172,0.0034844800000000007,0.003433041243243251,0.014762247668733845
7,114,0.014286200000000002,0.012572646770270294,0.11994464796304885
14,340,0.0034340199999999994,0.0034222118842342306,0.0034385693052949038
56,758,0.0034510800000000013,0.0034094026486486614,0.0120766111916675
56,1288,0.003586020000000001,0.003479002810810806,0.029842886874360753
112,1030,0.0034283200000000008,0.003416082612612628,0.003569499751298777
7,130,0.01566614,0.011289085459459456,0.27939585249082055
7,126,0.007578099999999997,0.006666377027027012,0.12031023250854248
28,216,0.0034278000000000004,0.00345298296529386,0.0073466845480656675
14,220,0.0034591200000000004,0.0034189016756756654,0.011626750249871363
28,34,0.009644739999999999,0.0034588503367224384,0.6413744344873539
7,262,0.011310380000000002,0.01259103836936934,0.1132285890809449
56,56,0.003477840000000001,0.0034635201759974327,0.004117447611899478
7,144,0.01635108,0.01097165125002143,0.32899531712758856
14,150,0.0034770199999999995,0.005998719634362916,0.7252473768810409
14,12,0.018209200000000002,0.007468396036036032,0.5898558950400878
14,796,0.00344292,0.0034523892231016714,0.002750346537727128
14,130,0.00343704,0.004819654331229288,0.4022689090698066
14,72,0.01313952,0.009205387168211038,0.29941221839069937
14,10,0.010946179999999998,0.007857700875289607,0.28215131897249923
14,88,0.01241616,0.005199553396396374,0.5812269335771789
28,134,0.00339538,0.0034397715855856003,0.01307411411553357
56,1178,0.0034989600000000006,0.0034407835135135214,0.016626793814870474
14,118,0.008882499999999998,0.004555097321192644,0.48718296412128964
56,214,0.0034472,0.0034250789522093593,0.0064171059963566805
14,520,0.0034391,0.0034431484169240604,0.0011771733663052443
14,134,0.0034194400000000015,0.007501584961647366,1.1938051147694837
28,502,0.00343054,0.0034555450347490252,0.007288950062971162
224,456,0.0034415000000000014,0.0034615682972972883,0.005831264651252902
14,178,0.006565120000000004,0.004062840199828378,0.38114761042777967
14,142,0.0076859000000000025,0.0038682058479193497,0.496714002534596
14,222,0.0034112000000000005,0.0034470145788931686,0.010499114356580706
1,72,0.00770956,0.01214850516756754,0.5757715313931716
1,6,0.005472040000000001,0.006591720553644564,0.20461848846948538
28,170,0.0035140000000000006,0.0034364207855856047,0.02207718110825153
112,58,0.0034350800000000005,0.0034920646542471057,0.01658903264177405
56,246,0.0034441000000000003,0.0034363265224289243,0.002257041773199379
56,472,0.0034692800000000012,0.0034602209949807007,0.002611206077140091
112,524,0.0034671800000000007,0.0034373694410553346,0.008597926541069705
