feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
7,960,960,5,1,1.22304,0.02496,0.14376266,0.24279592367567568,0.6888663834939872
112,33,33,5,1,10.762752,0.000858,0.43317107999999993,0.3746910924684668,0.13500436716950984
56,23,23,3,1,0.72128,0.00023,0.30302400000000007,0.16302926545495397,0.4619922334371075
14,477,477,3,1,0.93492,0.00477,0.15915412,0.17739420286486565,0.11460641336124783
14,92,92,5,1,0.468832,0.002392,0.12575663999999998,0.12898815574414446,0.025696581461976776
112,243,243,5,1,79.252992,0.006318,2.887059079999999,2.768453092036041,0.041081940021801655
14,81,81,3,1,0.15876,0.00081,0.20675636,0.13838169258056593,0.33070164042080286
28,260,260,3,1,2.0384,0.0026,0.21174584,0.21046763820270256,0.006036490715932975
7,178,178,3,1,0.08722,0.00178,0.31050336,0.14962870813526347,0.5181092142279444
56,160,160,5,1,13.04576,0.00416,0.34646714,0.37014468092792746,0.06833993240434708
14,80,80,3,1,0.1568,0.0008,0.15119541999999994,0.1298412003594591,0.1412358895563163
14,179,179,3,1,0.35084,0.00179,0.13078088,0.14524949225135148,0.11063247357986494
7,42,42,5,1,0.053508,0.001092,0.12568556,0.1336749916711719,0.06356682240324096
14,46,46,5,1,0.234416,0.001196,0.15285974000000005,0.27686231194440003,0.811217995951059
14,14,14,5,1,0.071344,0.000364,0.12857758000000002,0.14637863695675637,0.13844604134528232
14,57,57,5,1,0.290472,0.001482,0.1509675,0.22978636175135037,0.5220915876023009
14,168,168,3,1,0.32928,0.00168,0.15195308,0.14641446472432437,0.036449509780753495
14,69,69,3,1,0.13524,0.00069,0.12358852,0.11343845723577897,0.08212787695993949
28,104,104,3,1,0.81536,0.00104,0.1883755,0.2565615886216221,0.36196898546584927
14,963,963,5,1,4.907448,0.025038,0.19510049999999995,0.2661170866486497,0.36400002382694946
28,53,53,3,1,0.41552,0.00053,0.30178412000000004,0.14427485263964027,0.5219269567940147
56,154,154,5,1,12.556544,0.004004,0.4503091599999998,0.8208862506450408,0.8229392683129989
14,79,79,3,1,0.15484,0.00079,0.12632881999999998,0.1289101184532816,0.020433171569888935
7,175,175,5,2,0.0557375,0.00455,0.12739098000000001,0.17099503902162175,0.3422852938380859
14,86,86,7,1,0.8428,0.0043,0.15110691999999998,0.262230077422523,0.7353942322596679
14,124,124,3,2,0.06076,0.00124,0.13356817999999998,0.14500157695250973,0.0855997061014813
28,58,58,3,1,0.45472,0.00058,0.19039178000000007,0.17736357464414446,0.0684284025069549
56,42,42,5,1,3.424512,0.001092,0.2047786,0.274978202736164,0.34280731842176876
56,162,162,5,1,13.208832,0.004212,0.5524736400000001,0.5907341798720716,0.06925315001829127
28,169,169,3,1,1.32496,0.00169,0.17515509999999998,0.20890649264324282,0.19269431859673422
14,56,56,5,1,0.285376,0.001456,0.11261256000000001,0.22637573107207115,1.0102174310935754
7,220,220,5,1,0.28028,0.00572,0.13678320000000005,0.23048751565495457,0.685057197484446
14,169,169,3,1,0.33124,0.00169,0.13254914000000004,0.15165618205765852,0.14415063015617058
7,88,88,5,1,0.112112,0.002288,0.13164315999999998,0.1381773407144146,0.049635550486744714
56,178,178,5,1,14.513408,0.004628,0.46027749999999995,0.623538749827025,0.3547017827876119
28,263,263,5,1,5.360992,0.006838,0.20697793999999997,0.20413751902702718,0.013723302942201455
14,152,152,3,1,0.29792,0.00152,0.40061228000000004,0.26741418095250896,0.33248631082275126
28,164,164,7,1,6.4288,0.0082,0.21447676000000002,0.1998975556396396,0.06797568352095779
56,168,168,5,1,13.698048,0.004368,0.34026988,0.8468202738963952,1.488672444050573
7,123,123,3,1,0.06027,0.00123,0.13251024,0.13714519666666652,0.03497810181814268
112,198,198,3,1,24.83712,0.00198,2.55586964,2.7581257644362998,0.07913397509440258
56,181,181,5,1,14.758016,0.004706,0.5614495200000004,0.7524136365459463,0.34012695664241693
28,181,181,5,1,3.689504,0.004706,0.20391472,0.20408752680180145,0.0008474464315349875
7,29,29,5,1,0.036946,0.000754,0.35740807999999996,0.16675377334594635,0.5334359163174308
28,168,168,3,1,1.31712,0.00168,0.16808968,0.2087187004918915,0.2417103803867764
14,471,471,7,1,4.6158,0.02355,0.2555956199999999,0.18358302574324314,0.28174424216172717
28,170,170,3,1,1.3328,0.0017,0.18281632000000003,0.19959351117747726,0.09177075207222868
56,166,166,3,1,5.20576,0.00166,0.36354312000000005,0.4421422537837844,0.21620305669320422
56,1021,1021,5,1,83.248256,0.026546,3.2034229200000004,3.6859623428288364,0.15063244375764032
56,174,174,3,2,1.36416,0.00174,0.22956119999999994,0.3058036346669248,0.33212247830611125
14,165,165,5,1,0.84084,0.00429,0.15738390000000002,0.1786277660900903,0.1349811898808599
14,97,97,5,1,0.494312,0.002522,0.1281411,0.13945915702702671,0.08832495606036397
28,160,160,3,1,1.2544,0.0016,0.15683951999999998,0.18054140749339337,0.15112190788006358
14,246,246,3,1,0.48216,0.00246,0.14965584,0.1716376128557269,0.14688215879665562
