model_path,HW,CIN,CIN,latency
addrelu_prior_G2WVST.pt,56,539,539,0.004591700000000001
addrelu_prior_MQTG45.pt,14,542,542,0.004589839999999999
addrelu_prior_AX5457.pt,56,101,101,0.00455498
addrelu_prior_GGZJ8I.pt,14,93,93,0.004655219999999999
addrelu_prior_5W2J8V.pt,28,415,415,0.0047375
addrelu_prior_GSUB5H.pt,112,535,535,0.004599580000000001
addrelu_prior_0TZRCR.pt,14,203,203,0.004695120000000002
addrelu_prior_JDCN6M.pt,7,1069,1069,0.004700240000000002
addrelu_prior_IZIJS5.pt,7,41,41,0.004703060000000002
addrelu_prior_T8JDF5.pt,14,11,11,0.004587540000000002
addrelu_prior_3S35KI.pt,28,1697,1697,0.00462198
addrelu_prior_VM46JK.pt,14,199,199,0.004636860000000001
addrelu_prior_KTNACY.pt,14,1391,1391,0.00465406
addrelu_prior_B0SSN4.pt,56,26,26,0.00456994
addrelu_prior_4ZHONX.pt,112,75,75,0.004674180000000001
addrelu_prior_B4X9SZ.pt,28,1971,1971,0.0046675599999999986
addrelu_prior_SWUIQ2.pt,14,518,518,0.0046294
addrelu_prior_FSFSRU.pt,7,539,539,0.004680680000000001
addrelu_prior_0TFEIF.pt,112,222,222,0.0046738199999999995
addrelu_prior_9NTFZ0.pt,7,1022,1022,0.00462928
addrelu_prior_CZ0214.pt,112,66,66,0.004655700000000001
addrelu_prior_YOO44A.pt,7,1152,1152,0.004760940000000002
addrelu_prior_4ANKF5.pt,28,141,141,0.004605219999999999
addrelu_prior_XWRLIL.pt,7,99,99,0.0046675
addrelu_prior_5AFK1R.pt,7,254,254,0.004678259999999999
addrelu_prior_U7Y7IA.pt,56,1021,1021,0.004623779999999999
addrelu_prior_WHDUQA.pt,7,253,253,0.004536619999999998
addrelu_prior_AB7PCK.pt,112,80,80,0.004626319999999998
addrelu_prior_4PSJHC.pt,112,814,814,0.004643619999999999
addrelu_prior_8UJ3S5.pt,56,51,51,0.004705679999999998
addrelu_prior_JUSKN2.pt,56,240,240,0.004678739999999998
addrelu_prior_3GU9BN.pt,28,194,194,0.0046717999999999985
addrelu_prior_005Y6I.pt,7,489,489,0.004614420000000001
addrelu_prior_HSODLP.pt,56,10,10,0.0045946
addrelu_prior_C8LCHI.pt,14,161,161,0.004706120000000001
addrelu_prior_6KM4O1.pt,14,55,55,0.004619799999999999
addrelu_prior_09FHG0.pt,56,700,700,0.0047386600000000004
addrelu_prior_UV19U9.pt,224,581,581,0.00465604
addrelu_prior_FFQGIK.pt,7,104,104,0.004556279999999999
addrelu_prior_UDQQNV.pt,28,494,494,0.004587760000000001
addrelu_prior_UZW25G.pt,56,506,506,0.00474352
addrelu_prior_XYRK3L.pt,14,779,779,0.004694560000000001
addrelu_prior_0G6KWV.pt,7,138,138,0.004626540000000001
addrelu_prior_GABO0Z.pt,56,238,238,0.004639399999999999
addrelu_prior_Q5W2IP.pt,7,127,127,0.004609759999999999
addrelu_prior_CERAF0.pt,14,97,97,0.0046362
addrelu_prior_LGZFLK.pt,56,499,499,0.004633799999999999
addrelu_prior_WFC2BJ.pt,7,261,261,0.004577160000000001
addrelu_prior_JKNFJC.pt,14,10,10,0.00460234
addrelu_prior_JY7ICS.pt,7,1061,1061,0.0046001800000000015
