model_path,HW,CIN,latency
bn_prior_NBQOF3.pt,28,55,0.008984559999999997
bn_prior_JTBV73.pt,56,30,0.00902032
bn_prior_SZVRE6.pt,7,662,0.00904802
bn_prior_VPSN9M.pt,28,825,0.0090293
bn_prior_23WUS0.pt,14,62,0.009042600000000001
bn_prior_XO4X4A.pt,7,260,0.009212940000000001
bn_prior_8MBNZM.pt,28,161,0.009005099999999999
bn_prior_IHKCMQ.pt,112,132,0.00896354
bn_prior_YTPO9P.pt,112,103,0.00899972
bn_prior_I7F5EX.pt,56,24,0.008969119999999999
bn_prior_ENCBJS.pt,14,791,0.00901058
bn_prior_EKKGT6.pt,56,267,0.009026819999999998
bn_prior_67O758.pt,7,1168,0.00898144
bn_prior_1OEZTU.pt,28,998,0.00928658
bn_prior_P7B33K.pt,14,145,0.008997440000000002
bn_prior_DUUJOK.pt,14,828,0.008959260000000002
bn_prior_TF102W.pt,56,117,0.00886424
bn_prior_TLPQ88.pt,7,1213,0.00896112
bn_prior_LF1IF6.pt,14,111,0.0089072
bn_prior_24CLS3.pt,7,699,0.008969280000000001
bn_prior_409TL8.pt,28,107,0.008910020000000001
bn_prior_JKA0VU.pt,56,53,0.008964719999999999
bn_prior_ET20IN.pt,7,5,0.0094896
bn_prior_6VJHNB.pt,112,259,0.00904378
bn_prior_ASSJQM.pt,7,13,0.00892492
bn_prior_NGB1TW.pt,7,271,0.009196180000000002
bn_prior_CS7SXO.pt,14,144,0.008883080000000002
bn_prior_FJI7HV.pt,56,229,0.00900082
bn_prior_EH28W7.pt,112,2045,0.008929739999999999
bn_prior_JDHOV2.pt,28,151,0.00898112
bn_prior_VNKZ7K.pt,7,244,0.0089869
bn_prior_W87XGX.pt,14,674,0.008987660000000001
bn_prior_PKFGWW.pt,14,26,0.009278800000000002
bn_prior_MUZSI3.pt,14,80,0.009027899999999998
bn_prior_KELDFE.pt,28,189,0.009053400000000003
bn_prior_426L3Q.pt,112,802,0.008941659999999997
bn_prior_2193W9.pt,56,71,0.009003940000000002
bn_prior_J62ZL6.pt,7,229,0.009101779999999999
bn_prior_METEAP.pt,28,37,0.00901408
bn_prior_UAZ2QW.pt,14,530,0.0090058
bn_prior_FVFUWU.pt,14,490,0.0090104
bn_prior_M61RIU.pt,112,539,0.009022279999999999
bn_prior_5G5F2T.pt,7,136,0.008996440000000001
bn_prior_32D113.pt,112,148,0.00907066
bn_prior_NMB1I0.pt,14,776,0.009027240000000002
bn_prior_YGLIR8.pt,28,17,0.00890086
bn_prior_KPLVIH.pt,28,475,0.009000820000000003
bn_prior_DD2KH9.pt,14,191,0.009007700000000002
bn_prior_5SGLTC.pt,7,162,0.0090027
bn_prior_KVSL0H.pt,28,139,0.00909978
bn_prior_UJCDPT.pt,28,494,0.008851080000000004
bn_prior_729W8Z.pt,56,584,0.008975059999999998
bn_prior_TQL60G.pt,28,85,0.00892592
bn_prior_KTWBEJ.pt,56,45,0.009106679999999999
bn_prior_Q7TNJX.pt,112,113,0.009006120000000001
bn_prior_1LIZ2W.pt,28,1012,0.009103579999999998
bn_prior_12UI01.pt,112,122,0.00898406
bn_prior_YMY1O7.pt,14,8,0.008992400000000001
bn_prior_MJFZI5.pt,112,513,0.009093359999999998
bn_prior_8Z4USY.pt,7,638,0.009600820000000001
bn_prior_1E7M5O.pt,56,175,0.009096980000000001
bn_prior_C4ZHW9.pt,56,501,0.00908604
bn_prior_3LBCT8.pt,112,167,0.00901642
bn_prior_NR1I5Y.pt,14,842,0.009059619999999999
bn_prior_TXVZOA.pt,14,522,0.0090208
bn_prior_LXBGBQ.pt,14,125,0.009012540000000001
bn_prior_1T1UYF.pt,28,31,0.00894262
bn_prior_L445I7.pt,112,1003,0.009149639999999997
bn_prior_UEVW3O.pt,7,96,0.00909044
bn_prior_1MODGU.pt,112,509,0.009079139999999998
bn_prior_ZISRC3.pt,7,103,0.0089925
bn_prior_C4QANX.pt,28,104,0.00904836
bn_prior_K1KJ51.pt,112,131,0.009042139999999999
bn_prior_G8RATG.pt,28,50,0.009159860000000002
bn_prior_L61PXR.pt,14,361,0.00897798
bn_prior_T26HH4.pt,7,122,0.0092248
bn_prior_5NC1CL.pt,14,55,0.008970740000000001
bn_prior_EEK2XU.pt,224,665,0.00894168
bn_prior_PAF9KF.pt,14,518,0.009046100000000003
bn_prior_3CPXSP.pt,28,507,0.008899120000000002
bn_prior_WRA1E6.pt,28,507,0.00899394
bn_prior_ZARJP2.pt,56,91,0.008937860000000002
bn_prior_CUM716.pt,14,196,0.00901538
bn_prior_YNW3TC.pt,14,105,0.00897098
bn_prior_7ZAH17.pt,56,106,0.009030280000000003
bn_prior_GVR9W5.pt,28,1135,0.00907026
bn_prior_LTPK6K.pt,28,128,0.009104919999999999
bn_prior_VS7ALZ.pt,14,150,0.00900532
bn_prior_FMO51D.pt,1,676,0.00894918
bn_prior_N309MQ.pt,56,143,0.0089357
bn_prior_O2RF9U.pt,14,664,0.0089602
bn_prior_F50IRH.pt,14,220,0.008988059999999999
bn_prior_YSR6BP.pt,224,126,0.009203340000000003
bn_prior_J8UX7X.pt,112,30,0.009081439999999998
bn_prior_ZP7KXK.pt,7,505,0.009060799999999999
bn_prior_K07MK7.pt,28,504,0.009011739999999997
bn_prior_D7XI9Q.pt,224,429,0.008971360000000003
bn_prior_D5RDES.pt,7,17,0.009038899999999999
bn_prior_Z4S0B2.pt,7,198,0.00894008
bn_prior_RDABMP.pt,56,209,0.008989359999999997
bn_prior_MFQIE9.pt,7,637,0.00898632
bn_prior_LC3KK0.pt,14,63,0.008989619999999999
bn_prior_J0H44E.pt,7,83,0.008975419999999998
bn_prior_YK9F40.pt,28,526,0.008951480000000001
bn_prior_2BVP3R.pt,56,409,0.009007120000000002
bn_prior_WGBX7V.pt,14,10,0.00908112
bn_prior_AOI017.pt,112,111,0.008950040000000001
bn_prior_7W0NSZ.pt,14,1295,0.0089591
bn_prior_3EVQ4X.pt,3,650,0.008989679999999998
bn_prior_ZP3L6A.pt,14,51,0.008984299999999997
bn_prior_HPEPZO.pt,14,36,0.00901074
bn_prior_XSHE9O.pt,14,307,0.008966380000000001
bn_prior_FX9HL1.pt,112,453,0.008839419999999997
bn_prior_XQ9YE3.pt,7,163,0.00901814
bn_prior_WMGJSW.pt,112,175,0.008939260000000001
bn_prior_8G1QYL.pt,56,437,0.009015960000000002
bn_prior_YIHVR3.pt,7,184,0.00895656
bn_prior_BF2PSJ.pt,14,1158,0.008964779999999999
bn_prior_0Z6758.pt,28,505,0.00887356
bn_prior_5YOL1Y.pt,28,490,0.0089113
bn_prior_6D3J41.pt,56,9,0.00896562
bn_prior_6Y379B.pt,56,53,0.00902086
bn_prior_HNNGOW.pt,28,529,0.00886798
bn_prior_TA2AS8.pt,14,7,0.008993619999999997
bn_prior_5TVB2X.pt,7,261,0.00895564
bn_prior_S32P28.pt,28,114,0.009047119999999999
bn_prior_TPI5M2.pt,14,690,0.008947900000000002
bn_prior_ZQ54QT.pt,28,91,0.009008339999999998
bn_prior_1HSHUS.pt,56,614,0.008983940000000003
bn_prior_E0JFDK.pt,14,55,0.0089794
