feature0,feature1,feature2,True,Pred,Error
14,99,99,0.011659100000000002,0.015959139589698544,0.3688140242127215
7,231,231,0.021819279999999996,0.014415918491739798,0.3393036575111644
14,504,504,0.0045674800000000005,0.004480605661711714,0.01902019018983905
7,522,522,0.009353160000000003,0.01360945547508093,0.45506497002947954
14,232,232,0.0045261400000000005,0.00996835193547865,1.202395846235125
7,129,129,0.011071940000000002,0.01708365389810466,0.5429684317386707
14,217,217,0.009506700000000002,0.007390725533585172,0.2225771788754068
7,205,205,0.02205984,0.012767708550061558,0.42122388240070835
1,405,405,0.013896120000000001,0.01660033034279279,0.19460182718577482
14,11,11,0.01943744,0.021236309186794203,0.09254661039695573
14,121,121,0.018205100000000002,0.01280331922981037,0.29671799496787343
14,21,21,0.021964000000000004,0.019937335401824158,0.09227210882242971
3,1126,1126,0.016992439999999994,0.023255152800000078,0.36855877084162636
7,454,454,0.010795160000000002,0.01338064336768366,0.23950394136665493
14,116,116,0.023234900000000006,0.014510584332383478,0.37548324579044995
14,73,73,0.018001719999999992,0.017319474675021106,0.037898896604262586
28,77,77,0.00438824,0.0054535247742814276,0.24275900458530703
14,89,89,0.0153178,0.013612853489194783,0.11130492047194875
14,99,99,0.02299519999999999,0.015959139589698544,0.3059795266099642
1,924,924,0.0186134,0.015546806108108128,0.16475194708607083
14,63,63,0.012944839999999996,0.01461615806516579,0.12911075495454521
7,517,517,0.010206819999999998,0.016481466653104418,0.6147503975875366
14,121,121,0.020602979999999996,0.01280331922981037,0.37856954528857617
28,27,27,0.024822260000000002,0.012607861442811454,0.4920743944019822
3,396,396,0.021177080000000004,0.018652928256756823,0.1191926244431801
14,162,162,0.009235000000000002,0.011992801733769463,0.29862498470703414
14,118,118,0.008295059999999998,0.01610455493658778,0.941463345242564
7,292,292,0.015950700000000005,0.018440483107337095,0.15609240392817172
14,31,31,0.011194559999999997,0.018279145126752053,0.6328596324243255
14,698,698,0.0045033600000000005,0.004484734108108077,0.004135998874601092
14,94,94,0.010758699999999996,0.014194854873395233,0.3193838357232043
7,620,620,0.01464782,0.011339655643076131,0.2258468739323578
1,942,942,0.01316249999999999,0.019137182262162142,0.45391698098098054
14,174,174,0.011487399999999998,0.008753997230828387,0.23794790545916497
7,29,29,0.00470554,0.02112791693519994,3.49000899688451
14,1258,1258,0.004463579999999999,0.004469604639639612,0.0013497326450098992
14,185,185,0.01292216,0.010594525396300413,0.18012736289440676
14,71,71,0.02510536,0.015869792781224707,0.3678723276135173
14,31,31,0.014876060000000002,0.018279145126752053,0.2287625303173052
14,136,136,0.013102119999999997,0.013370225873506158,0.020462785679429052
14,258,258,0.00453862,0.006496750805446362,0.43143748660305603
