model_path,HW,CIN,latency
relu_prior_CJYZ7M.pt,56,128,0.004488819999999999
relu_prior_8JGLHK.pt,56,831,0.004506839999999999
relu_prior_CVWZKX.pt,14,234,0.00454126
relu_prior_YKAHX0.pt,112,247,0.00463216
relu_prior_UMZ0AD.pt,7,186,0.00504382
relu_prior_S2H57B.pt,112,183,0.004678839999999999
relu_prior_Z2IYWJ.pt,1,224,0.004525359999999999
relu_prior_DV9U62.pt,112,202,0.00445388
relu_prior_VYAUU2.pt,14,93,0.004483340000000001
relu_prior_AVC7E7.pt,28,180,0.004576020000000001
relu_prior_AO4VQ9.pt,14,195,0.0045856000000000004
relu_prior_WE624S.pt,1,178,0.004504320000000001
relu_prior_CDN67X.pt,28,812,0.004563780000000001
relu_prior_31CCPF.pt,112,202,0.004491640000000002
relu_prior_L7DKDQ.pt,7,88,0.004519259999999999
relu_prior_C39D6T.pt,56,306,0.00461542
relu_prior_HRGWKP.pt,14,829,0.004572540000000001
relu_prior_9PH5QP.pt,14,855,0.0046349
relu_prior_VR0PP1.pt,14,1047,0.00455806
relu_prior_0QP03O.pt,224,132,0.004571720000000001
relu_prior_GYBP8P.pt,14,1138,0.004558860000000001
relu_prior_WF8WF8.pt,14,1145,0.00456256
relu_prior_TLN84V.pt,7,268,0.004499319999999999
relu_prior_BTJB73.pt,14,117,0.00451528
relu_prior_FT7O7G.pt,28,245,0.0046336400000000005
relu_prior_5GSS66.pt,56,207,0.00457534
relu_prior_LRA0JB.pt,28,50,0.004511740000000001
relu_prior_6B3TFF.pt,14,124,0.004571900000000001
relu_prior_Q6VJQM.pt,7,170,0.00457516
relu_prior_SOVCJZ.pt,3,160,0.004506159999999999
relu_prior_5V113K.pt,28,147,0.0045449
relu_prior_V9ILH2.pt,28,537,0.004514980000000001
relu_prior_KLIG3G.pt,56,27,0.0046557
relu_prior_LOR25W.pt,3,509,0.00459154
relu_prior_QKFJ0V.pt,28,153,0.0045623999999999994
relu_prior_T234D7.pt,28,524,0.004511640000000001
relu_prior_HFB4DI.pt,28,177,0.004575039999999999
relu_prior_1U57XS.pt,7,242,0.0050274000000000004
relu_prior_4OITR3.pt,7,794,0.00460336
relu_prior_2EA3AR.pt,28,269,0.00466878
relu_prior_A86KM1.pt,28,844,0.0045606200000000005
relu_prior_KXF7LP.pt,14,96,0.00451294
relu_prior_GP34OT.pt,14,278,0.004527239999999999
relu_prior_DV64IF.pt,14,540,0.00454768
relu_prior_L39SXM.pt,14,498,0.004558339999999999
relu_prior_P3JAG1.pt,14,133,0.004635379999999999
relu_prior_LAUO5I.pt,14,15,0.004512479999999998
relu_prior_7DJ7KK.pt,28,175,0.00464892
relu_prior_U1YLNU.pt,14,157,0.00451096
relu_prior_RJR8CK.pt,56,173,0.00503136
relu_prior_1P6HMI.pt,112,142,0.0045563600000000015
relu_prior_31R4PZ.pt,14,55,0.004554560000000001
relu_prior_GNMAFD.pt,28,116,0.00507378
relu_prior_X040NG.pt,7,1005,0.004584940000000001
relu_prior_5NMK99.pt,28,241,0.004584220000000001
relu_prior_4KEUDR.pt,3,52,0.004582880000000001
relu_prior_F8272Q.pt,28,796,0.00459538
relu_prior_DWFSSA.pt,28,43,0.00450494
relu_prior_G5LTIM.pt,112,443,0.004463420000000001
relu_prior_QFHKR1.pt,112,89,0.0046766
relu_prior_YAUPRM.pt,56,85,0.0045460200000000004
relu_prior_24D8R3.pt,14,134,0.004537780000000002
relu_prior_DURHR1.pt,28,21,0.00450772
relu_prior_KOJVWE.pt,7,263,0.0045009199999999985
relu_prior_BBJ8UX.pt,3,1255,0.0045141
relu_prior_PE49D5.pt,14,194,0.0044985
relu_prior_4NI8PK.pt,56,17,0.0045987200000000015
relu_prior_INE7JM.pt,56,511,0.004524879999999999
relu_prior_AVIBRS.pt,28,482,0.004645420000000001
relu_prior_5KNQAD.pt,3,148,0.0045594
relu_prior_4FFME0.pt,14,91,0.004519479999999999
relu_prior_8FX2XQ.pt,56,469,0.004534000000000001
relu_prior_M3S75V.pt,112,26,0.00452868
relu_prior_9WEYQJ.pt,14,227,0.0045252
relu_prior_WW89P8.pt,56,187,0.00461456
relu_prior_UUL4BP.pt,56,243,0.00464964
relu_prior_FKMUE7.pt,112,989,0.004531960000000001
relu_prior_ITM1RD.pt,14,312,0.004550019999999999
relu_prior_NFPHQQ.pt,14,228,0.0045095199999999995
relu_prior_TRUD30.pt,224,54,0.004591060000000001
relu_prior_XAX4FC.pt,14,513,0.00461746
relu_prior_WUZTIZ.pt,28,175,0.004565639999999999
relu_prior_B8PSMN.pt,224,167,0.004622620000000001
relu_prior_DUYW30.pt,28,7,0.00451686
relu_prior_WOECTJ.pt,14,233,0.0046380399999999995
relu_prior_BD7JG0.pt,112,128,0.005193520000000002
relu_prior_XP48V8.pt,112,164,0.0046003599999999995
relu_prior_ZNMPCG.pt,14,164,0.0045420799999999996
relu_prior_Z8X1H4.pt,7,498,0.00461818
relu_prior_DB0OH9.pt,7,313,0.004575340000000001
relu_prior_IGHQAQ.pt,28,189,0.004641560000000001
relu_prior_NODUC2.pt,14,145,0.004691460000000001
relu_prior_79K75S.pt,14,115,0.004592540000000001
relu_prior_KWACPC.pt,28,143,0.004559959999999999
relu_prior_7KL979.pt,3,1381,0.004473639999999999
relu_prior_NJ5M8K.pt,112,495,0.004564800000000001
relu_prior_9QG52H.pt,56,119,0.004556040000000001
relu_prior_BIN8T5.pt,14,68,0.004510000000000001
relu_prior_MXYFRY.pt,7,1278,0.004486380000000001
relu_prior_3EV1XJ.pt,56,158,0.0047249399999999995
relu_prior_E3SHWG.pt,14,263,0.004562720000000001
relu_prior_8K1IMN.pt,28,448,0.00456308
relu_prior_5I8PQP.pt,14,205,0.00458774
relu_prior_MPGECW.pt,112,131,0.004656759999999999
relu_prior_C8MMA1.pt,3,1011,0.004634299999999999
relu_prior_ISQ0WA.pt,112,79,0.004675060000000001
relu_prior_UXC7U3.pt,14,242,0.00450094
relu_prior_L2XWQW.pt,28,12,0.004519219999999999
relu_prior_7CHRL0.pt,1,232,0.00460518
relu_prior_Q07IAE.pt,14,418,0.0049479
relu_prior_FI2M07.pt,14,164,0.00495246
relu_prior_YK3WK6.pt,56,199,0.004601399999999999
relu_prior_JL6VMJ.pt,56,31,0.004566979999999999
relu_prior_PWE4N6.pt,14,1174,0.0045806000000000015
relu_prior_XP23EZ.pt,56,65,0.004569280000000002
relu_prior_MHE53Y.pt,224,57,0.0045254000000000015
relu_prior_X99Q4W.pt,112,971,0.004561400000000001
relu_prior_Z80MH0.pt,14,271,0.004489
relu_prior_2IQ7CH.pt,56,43,0.0045539000000000005
relu_prior_Y0LHT3.pt,56,240,0.004579379999999999
relu_prior_46WEMC.pt,14,484,0.0045414
relu_prior_3RQMCL.pt,14,106,0.0045004200000000015
relu_prior_QUYBTU.pt,14,29,0.0045020600000000004
relu_prior_ASWB8O.pt,56,526,0.004588200000000001
relu_prior_KKECSR.pt,56,255,0.00452506
relu_prior_D40117.pt,56,138,0.00454444
relu_prior_Q9OC9D.pt,112,527,0.00447066
relu_prior_UF6NSJ.pt,7,176,0.004523060000000001
relu_prior_0W5K6J.pt,14,428,0.00451572
relu_prior_D7D56R.pt,56,61,0.00454604
relu_prior_O06KPO.pt,28,2043,0.0045473000000000015
relu_prior_OYMUTD.pt,14,183,0.004548439999999999
relu_prior_CUHGSL.pt,28,791,0.004599520000000001
relu_prior_T6PR47.pt,14,32,0.00455246
relu_prior_YWQAMZ.pt,7,52,0.0044882
relu_prior_JU2K9O.pt,56,324,0.004563320000000001
relu_prior_DUC5OX.pt,14,27,0.004526399999999999
relu_prior_OY68I1.pt,14,513,0.00452894
relu_prior_QVOGT0.pt,14,157,0.004637640000000001
relu_prior_O1ASJJ.pt,1,525,0.0044662999999999994
relu_prior_2U3M4R.pt,14,135,0.004603059999999997
relu_prior_IF7GWN.pt,14,219,0.0045686599999999996
relu_prior_C95N4S.pt,14,269,0.0045474
relu_prior_53RRBY.pt,28,109,0.0045874800000000006
