feature0,feature1,feature2,feature3,True,Pred,Error
24940,1019,25.4143695,50.828739,0.00755184,0.007584675621621607,0.004348029304329494
1090,1000,1.0905,2.181,0.05870107999999999,0.05989580372972967,0.02035267033808716
820,1077,0.8836785,1.767357,0.05749368,0.058262366108107984,0.013369923583044004
25060,1051,26.3385855,52.677171,0.007581500000000001,0.007620237081081097,0.005109421761009754
3790,1000,3.7905,7.581,0.03532264,0.039413191213513624,0.11580536487401907
3926,1000,3.9265,7.853,0.03149659999999999,0.03316941180180197,0.05311086916689343
1097,4036,4.42951,8.85902,0.03147158,0.03267245870270266,0.03815756001772591
24772,1000,24.7725,49.545,0.0075353400000000015,0.007667015479922757,0.01747439132444661
1617,1014,1.640145,3.28029,0.052637519999999986,0.0537021175675675,0.02022507077779338
2158,1030,2.223255,4.44651,0.03969198,0.026401902783783814,0.3348302910617255
826,1050,0.867825,1.73565,0.0609591,0.06002825410360326,0.015270007208058208
24900,1041,25.9214205,51.842841,0.007585120000000001,0.007610393189189209,0.0033319432242611634
1917,1000,1.9175,3.835,0.04686378,0.050496426267181434,0.07751500769211175
1278,1000,1.2785,2.557,0.05932386000000001,0.059245689976834166,0.0013176826856149723
1779,1033,1.8382235,3.676447,0.05482640000000001,0.04785505875675674,0.12715300007374677
24491,4052,99.239558,198.479116,0.007602300000000001,0.007458707135135154,0.018888081878490316
3916,1000,3.9165,7.833,0.033829200000000004,0.03575418171106811,0.05690296285658857
24612,1040,25.597,51.194,0.007619160000000001,0.0075823708648649,0.004828502766066176
2316,1000,2.3165,4.633,0.04958222,0.04235767724324335,0.1457083357049493
24648,1000,24.6485,49.297,0.007761240000000002,0.007618974810810816,0.01833021388195519
2048,1000,2.0485,4.097,0.0556144,0.05528678476525113,0.005890834653414754
24645,1000,24.6455,49.291,0.007603559999999998,0.007624052216216228,0.0026950818059212063
24831,1000,24.8315,49.663,0.007652720000000001,0.007627022864864874,0.00335790870894622
1805,1000,1.8055,3.611,0.049475680000000015,0.052363372529601056,0.05836589875270112
1015,4071,4.1341005,8.268201,0.036884099999999996,0.03394358448648658,0.07972311954238866
24688,4072,100.531572,201.063144,0.007585100000000001,0.00765062513513514,0.008638664636608546
9205,1000,9.2055,18.411,0.01597528,0.014470807999999991,0.0941750003755809
778,1000,0.7785,1.557,0.06151578000000001,0.05982675263063089,0.027456814647706995
24877,1049,26.0964975,52.192995,0.0075759600000000005,0.0076066578378378505,0.004052006324987194
1126,1000,1.1265,2.253,0.05954341999999999,0.05829089428314045,0.021035501770968842
1699,1012,1.719894,3.439788,0.05387336,0.047865605210810715,0.11151624456297671
2117,1000,2.1175,4.235,0.050502319999999996,0.042539317243243,0.15767597917792678
3976,4037,16.0531305,32.106261,0.009251559999999997,0.00781269216216213,0.15552705033938785
3973,1000,3.9735,7.947,0.033778220000000005,0.035690100067567426,0.056600971500790194
1835,4066,7.463143,14.926286,0.025663879999999993,0.026244538216216123,0.02262550386832115
1749,1000,1.7495,3.499,0.05143410000000002,0.05040293764774765,0.020048223887505913
1946,4041,7.8658065,15.731613,0.019860259999999998,0.02102306945945955,0.05854955873989319
1674,1000,1.6745,3.349,0.05377601999999999,0.054796657405405395,0.018979415088833437
3666,1066,3.908489,7.816978,0.040923320000000006,0.03814946821621612,0.06778168984783946
1882,1076,2.02557,4.05114,0.05618968,0.05095217259459454,0.09321119830911052
4177,1000,4.1775,8.355,0.03430074000000002,0.03873113491891896,0.12916324600923895
1853,4021,7.4529235,14.905847,0.027092820000000004,0.02712314405405402,0.001119265327640919
24814,1047,25.9807815,51.961563,0.007567739999999997,0.007634325729729739,0.008798628088404467
1546,1060,1.63929,3.27858,0.018694259999999997,0.05172348724324336,1.7668111625302831
