model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
maxpool_prior_LWYXDC.pt,112,252,252,3,2,0.005350959999999998
maxpool_prior_NN1VQF.pt,14,498,498,2,2,0.005083500000000001
maxpool_prior_BBXPF1.pt,224,149,149,2,2,0.005141679999999999
maxpool_prior_FFUENA.pt,56,509,509,2,2,0.00511054
maxpool_prior_8BPRL0.pt,56,237,237,3,2,0.0051507800000000015
maxpool_prior_QTGGX9.pt,28,523,523,2,2,0.005177960000000001
maxpool_prior_UK52GY.pt,14,58,58,3,2,0.00506486
maxpool_prior_L6IMLJ.pt,112,144,144,2,2,0.0052445
maxpool_prior_4JO98K.pt,112,494,494,3,1,0.0051751
maxpool_prior_4H4G6X.pt,14,255,255,3,1,0.00508126
maxpool_prior_VSYHZ7.pt,28,508,508,3,1,0.005121879999999998
maxpool_prior_2HBNLL.pt,14,193,193,3,1,0.00510462
maxpool_prior_ORQG4U.pt,28,469,469,3,2,0.005152740000000001
maxpool_prior_ZPLN5K.pt,28,63,63,2,2,0.00519572
maxpool_prior_UKKRFK.pt,28,469,469,2,1,0.005171000000000002
maxpool_prior_U2RNCV.pt,112,59,59,3,2,0.005480820000000001
maxpool_prior_A7TT1G.pt,28,55,55,3,2,0.0051268
maxpool_prior_HZCC81.pt,14,91,91,3,2,0.005052659999999999
maxpool_prior_YZQLPH.pt,112,60,60,3,1,0.00508084
maxpool_prior_SDBS93.pt,56,55,55,2,2,0.005121260000000001
maxpool_prior_Z791MM.pt,14,70,70,2,1,0.0051189600000000005
maxpool_prior_17G2I9.pt,112,200,200,3,2,0.005098619999999999
maxpool_prior_GLQSUT.pt,112,361,361,2,2,0.00510322
maxpool_prior_KUPV0D.pt,112,70,70,2,2,0.005098739999999999
maxpool_prior_6VCX9T.pt,14,234,234,2,2,0.0051147
maxpool_prior_AWLQKT.pt,28,197,197,3,2,0.00510404
maxpool_prior_1YW89E.pt,56,495,495,3,2,0.005153500000000001
maxpool_prior_2O9G80.pt,224,51,51,2,2,0.005171959999999996
maxpool_prior_5CIU0E.pt,28,233,233,2,2,0.00511092
maxpool_prior_595DXN.pt,14,240,240,3,2,0.005089140000000001
maxpool_prior_EOQQG3.pt,56,59,59,3,2,0.005093180000000002
maxpool_prior_7KBPV7.pt,14,493,493,2,2,0.00507638
maxpool_prior_ZF53HW.pt,14,467,467,3,1,0.0051220200000000006
maxpool_prior_1W9U8O.pt,112,481,481,2,2,0.005032779999999999
maxpool_prior_U6TKJZ.pt,14,97,97,2,2,0.0050812
maxpool_prior_CG2C6I.pt,112,490,490,2,1,0.00520578
maxpool_prior_PA92H8.pt,224,518,518,2,2,0.00497218
maxpool_prior_5LVYJO.pt,14,254,254,2,2,0.00514364
maxpool_prior_HVYSWM.pt,112,136,136,2,1,0.005066379999999999
maxpool_prior_LMGVT4.pt,112,134,134,2,2,0.005052080000000001
maxpool_prior_9ZS5XN.pt,28,53,53,2,2,0.005122140000000001
maxpool_prior_HZFDAG.pt,56,1048,1048,3,2,0.005103859999999999
maxpool_prior_6UZL18.pt,56,372,372,2,2,0.00514262
maxpool_prior_WRQRBM.pt,56,60,60,3,2,0.005223860000000001
maxpool_prior_JRQZQQ.pt,28,251,251,2,2,0.00509648
maxpool_prior_NASKLJ.pt,112,253,253,2,2,0.00508328
maxpool_prior_DNQ7QW.pt,56,192,192,2,1,0.00509814
maxpool_prior_VGCTC6.pt,28,58,58,3,1,0.00509256
maxpool_prior_QY7SDB.pt,112,502,502,2,2,0.005125680000000001
maxpool_prior_IBU4JM.pt,224,202,202,2,2,0.0051483
maxpool_prior_NL9C70.pt,14,71,71,3,2,0.005082139999999998
maxpool_prior_JLCFBG.pt,14,187,187,3,2,0.00511486
maxpool_prior_4AGNY0.pt,112,252,252,3,1,0.005126820000000001
maxpool_prior_FK9O3L.pt,224,503,503,2,2,0.005127000000000001
maxpool_prior_F3PR96.pt,56,234,234,2,1,0.00507078
maxpool_prior_QBEUCF.pt,14,128,128,2,2,0.00507992
maxpool_prior_JG4X5N.pt,112,480,480,3,2,0.005002999999999999
maxpool_prior_B7K0NV.pt,14,70,70,2,2,0.005150179999999999
maxpool_prior_7QQUWR.pt,14,230,230,3,2,0.005088820000000001
maxpool_prior_QJILOY.pt,112,65,65,2,2,0.00506698
maxpool_prior_2B6HTV.pt,224,491,491,3,1,0.005164399999999999
maxpool_prior_GN65V8.pt,14,253,253,2,2,0.005137279999999999
maxpool_prior_CIB87Z.pt,28,505,505,2,2,0.005082719999999998
maxpool_prior_2FPSS7.pt,112,837,837,3,2,0.005189919999999999
maxpool_prior_SHGCR7.pt,28,238,238,2,1,0.005115220000000001
maxpool_prior_KT62UN.pt,28,471,471,2,1,0.00516416
maxpool_prior_XDFL0D.pt,28,132,132,2,2,0.00510634
maxpool_prior_BUTCKV.pt,14,203,203,3,2,0.005068800000000001
maxpool_prior_0TNQFT.pt,14,52,52,3,2,0.005111380000000001
maxpool_prior_8OJJCS.pt,56,503,503,3,2,0.0051148
maxpool_prior_XOSOP3.pt,28,510,510,3,2,0.005212060000000003
maxpool_prior_BKSFBV.pt,112,147,147,3,2,0.0051467399999999995
maxpool_prior_BJKLPL.pt,112,189,189,3,2,0.005009539999999999
maxpool_prior_XSXEE6.pt,14,489,489,2,1,0.005099080000000001
maxpool_prior_N2W1L4.pt,14,247,247,2,2,0.005090260000000001
maxpool_prior_WIAMJ6.pt,56,37,37,3,2,0.0050896000000000005
maxpool_prior_6MOMQI.pt,14,135,135,2,2,0.005106979999999999
maxpool_prior_K48LG4.pt,56,489,489,2,2,0.005149960000000001
maxpool_prior_96YVBD.pt,224,500,500,2,2,0.005162379999999999
maxpool_prior_G9QBMB.pt,112,234,234,2,2,0.00511884
maxpool_prior_XWV6KL.pt,112,233,233,2,2,0.005119720000000001
maxpool_prior_1T4Y2D.pt,112,148,148,3,2,0.00516256
maxpool_prior_Z4B306.pt,112,511,511,3,2,0.00515712
maxpool_prior_N9KQNK.pt,28,506,506,3,2,0.0050827799999999985
maxpool_prior_599MWI.pt,14,508,508,3,2,0.00508356
maxpool_prior_5CJOGM.pt,14,142,142,3,1,0.0050851
maxpool_prior_GBOG2E.pt,112,184,184,2,2,0.0051141999999999984
maxpool_prior_BEFT5Z.pt,56,145,145,3,2,0.005064160000000001
maxpool_prior_VBWFGJ.pt,56,849,849,3,1,0.00519396
maxpool_prior_EKH5NI.pt,56,255,255,3,2,0.005116139999999999
maxpool_prior_1ZIV0O.pt,56,99,99,2,1,0.005119799999999999
maxpool_prior_ESU86B.pt,14,249,249,3,1,0.005242599999999999
maxpool_prior_LFZY5V.pt,28,201,201,2,1,0.005107899999999999
maxpool_prior_NLL8HS.pt,112,526,526,3,2,0.0051878
maxpool_prior_KDPLVA.pt,112,91,91,2,2,0.00530038
maxpool_prior_J4KNEE.pt,14,491,491,3,2,0.005091119999999999
maxpool_prior_W0CLWB.pt,14,239,239,3,2,0.00506764
maxpool_prior_MZEBB6.pt,56,252,252,3,2,0.005150560000000001
maxpool_prior_6QBWB0.pt,56,511,511,3,1,0.00524326
maxpool_prior_ICTKX5.pt,112,245,245,2,2,0.00512524
maxpool_prior_0SZB72.pt,112,193,193,2,2,0.00511794
maxpool_prior_JEF4NY.pt,14,468,468,2,2,0.0050892
