model_path,HW,CIN,latency
se_prior_TRFATC.pt,28,108,0.037305040000000005
se_prior_QHMUW9.pt,14,856,0.037133779999999984
se_prior_V87DV5.pt,28,22,0.037400640000000006
se_prior_Y6ADNO.pt,112,956,0.03782335999999999
se_prior_M1KO4C.pt,112,264,0.03869512
se_prior_124LS8.pt,224,90,0.036899039999999994
se_prior_DN7AK1.pt,28,152,0.03833538
se_prior_0O7Z2C.pt,14,54,0.03688852
se_prior_OQXTUD.pt,7,54,0.03666776000000001
se_prior_6B9871.pt,7,170,0.03857904
se_prior_02N3IS.pt,7,146,0.03823588000000001
se_prior_ZK2T9A.pt,1,16,0.03647516
se_prior_TLCOJM.pt,7,1612,0.037832559999999994
se_prior_ILDTTM.pt,56,164,0.03738769999999999
se_prior_DBT5SJ.pt,14,478,0.037614959999999996
se_prior_FOMAD9.pt,7,490,0.03690418000000001
se_prior_2WTWNQ.pt,7,164,0.03667206
se_prior_MOLUYH.pt,28,516,0.037802859999999994
se_prior_AF3PR9.pt,56,150,0.03683291999999999
se_prior_4FP4UR.pt,28,448,0.036896080000000005
se_prior_SW0B04.pt,56,1476,0.03702202000000001
se_prior_JYQTK5.pt,14,82,0.03726406
se_prior_5S3HNZ.pt,56,788,0.03725480000000001
se_prior_OF48O3.pt,14,30,0.03672958
se_prior_Q4TJ15.pt,28,24,0.036514979999999995
se_prior_7FD1Z4.pt,224,22,0.03667188
se_prior_QKNCOV.pt,1,108,0.036960879999999995
se_prior_CPI22A.pt,7,188,0.03823798
se_prior_E70B2T.pt,1,240,0.037178819999999994
se_prior_2AY3QQ.pt,14,200,0.03682344
se_prior_B6Z0U6.pt,14,982,0.03832254000000001
se_prior_WMGW9H.pt,28,1952,0.03729152
se_prior_FHILTB.pt,28,2028,0.036999839999999985
se_prior_C2KM29.pt,7,1586,0.041196399999999994
se_prior_81XB68.pt,28,92,0.0380025
se_prior_Z47LDC.pt,28,496,0.03767040000000001
se_prior_8YLN1K.pt,14,198,0.036960200000000006
se_prior_QDY68D.pt,14,60,0.03703826
se_prior_48B0I0.pt,14,150,0.03680933999999999
se_prior_KWQ579.pt,28,508,0.03704919999999999
se_prior_HIATMB.pt,28,90,0.037148
se_prior_2EXYEF.pt,14,20,0.03631956
se_prior_Z5HRLK.pt,112,496,0.036693619999999996
se_prior_UZMC9O.pt,7,498,0.03706823999999999
se_prior_OGVRZJ.pt,7,24,0.03644352
se_prior_L4UD4I.pt,14,206,0.03762254
se_prior_ZFLW27.pt,14,190,0.036824679999999985
se_prior_XYNG3K.pt,28,152,0.03843614
se_prior_BOYRFV.pt,14,508,0.037374559999999994
se_prior_FRRCQC.pt,7,8,0.03680088000000001
se_prior_32LD6X.pt,56,174,0.03726667999999999
se_prior_WPS1QS.pt,7,104,0.036997680000000005
