model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_NJW9G4.pt,847,1000,0.8475,1.695,0.06113622000000002
fc_prior_7MNFEY.pt,854,1000,0.8545,1.709,0.06088858000000001
fc_prior_0JOEXL.pt,855,1000,0.8555,1.711,0.05812660000000001
fc_prior_A5WS7P.pt,856,1000,0.8565,1.713,0.06049438
fc_prior_04ZLXY.pt,858,1000,0.8585,1.717,0.060320979999999996
fc_prior_L09LDJ.pt,859,1000,0.8595,1.719,0.06057272
fc_prior_MF3ILG.pt,863,1000,0.8635,1.727,0.06070052000000001
fc_prior_0U5N42.pt,865,1000,0.8655,1.731,0.059895639999999986
fc_prior_R8CDGM.pt,868,1000,0.8685,1.737,0.06067387999999999
fc_prior_QOX7LR.pt,868,1000,0.8685,1.737,0.06142337999999998
fc_prior_YZXRY1.pt,870,1000,0.8705,1.741,0.060430940000000016
fc_prior_E4K42D.pt,870,1000,0.8705,1.741,0.009649739999999997
fc_prior_CKHZ4O.pt,889,1000,0.8895,1.779,0.060178099999999984
fc_prior_XMQYUB.pt,894,1000,0.8945,1.789,0.06096368
fc_prior_CVXAM4.pt,898,1000,0.8985,1.797,0.060489079999999994
fc_prior_D9Y4ZV.pt,903,1000,0.9035,1.807,0.009743759999999997
fc_prior_Y310JO.pt,908,1000,0.9085,1.817,0.03162460000000001
fc_prior_KAXEV7.pt,909,1000,0.9095,1.819,0.06044842
fc_prior_1O89GH.pt,913,1000,0.9135,1.827,0.009797460000000003
fc_prior_K3RA4H.pt,917,1000,0.9175,1.835,0.060536359999999984
fc_prior_VYB18B.pt,920,1000,0.9205,1.841,0.06043931999999999
fc_prior_M3Y7O0.pt,922,1000,0.9225,1.845,0.05920847999999999
fc_prior_G6VTWL.pt,937,1000,0.9375,1.875,0.06067856
fc_prior_0NWMUR.pt,937,1000,0.9375,1.875,0.05846682
fc_prior_M3QNOD.pt,939,1000,0.9395,1.879,0.06088458
fc_prior_0XT7BI.pt,944,1000,0.9445,1.889,0.06015791999999998
fc_prior_UB3ZBZ.pt,947,1000,0.9475,1.895,0.06101244
fc_prior_343CL6.pt,949,1000,0.9495,1.899,0.059091679999999994
fc_prior_95MH7X.pt,953,1000,0.9535,1.907,0.06056164
fc_prior_1Y5H2P.pt,955,1000,0.9555,1.911,0.059848659999999984
fc_prior_DHOOEP.pt,957,1000,0.9575,1.915,0.05864014000000001
fc_prior_UZ5TAE.pt,958,1000,0.9585,1.917,0.05969797999999999
fc_prior_5JSKJ4.pt,963,1000,0.9635,1.927,0.06062137999999998
fc_prior_GYXIC4.pt,965,1000,0.9655,1.931,0.06084856000000001
fc_prior_5R3G9R.pt,967,1000,0.9675,1.935,0.06005392
fc_prior_MAXXVU.pt,969,1000,0.9695,1.939,0.06067052000000001
fc_prior_K5SDVH.pt,970,1000,0.9705,1.941,0.05980468
fc_prior_GH3XGS.pt,970,1000,0.9705,1.941,0.06001618
fc_prior_F43R26.pt,971,1000,0.9715,1.943,0.06141646
