feature0,feature1,feature2,feature3,True,Pred,Error
9332,1000,9.3325,18.665,0.01568574,0.013664592810810788,0.12885252396056623
4064,1052,4.275854,8.551708,0.03726612,0.034000679567567464,0.08762491057380097
4045,959,3.8796345,7.759269,0.007724159999999999,0.007696312162162164,0.0036052901335335906
2259,1000,2.2595,4.519,0.04165664,0.048585177045044975,0.16632491350826598
2484,731,1.8161695,3.632339,0.00967836,0.00969929032432432,0.002162589976433997
2987,3910,11.681125,23.36225,0.007615919999999998,0.007669056594594605,0.0069770421163308834
2227,1000,2.2275,4.455,0.04288433999999999,0.04420394994144148,0.030771371121520976
3902,972,3.79323,7.58646,0.007606560000000001,0.007702716810810796,0.012641300510453509
1825,1040,1.89852,3.79704,0.026873020000000004,0.04643294535135119,0.7278648008802576
3720,1044,3.884202,7.768404,0.039203940000000013,0.03298242091891897,0.1586962708615778
3767,4029,15.1792575,30.358515,0.008835939999999999,0.01029305448648648,0.16490769363378227
3958,1018,4.029753,8.059506,0.0353678,0.03075818751351357,0.13033359401733857
2003,1000,2.0035,4.007,0.055599520000000006,0.05480507448648651,0.014288711728329549
1472,1042,1.534345,3.06869,0.04717470000000001,0.012055863783783805,0.744442173796891
773,1000,0.7735,1.547,0.0587334,0.061099892810811206,0.04029211335988054
3887,1000,3.8875,7.775,0.03410897999999999,0.03567421340405404,0.045889188244680836
404,932,0.376994,0.753988,0.009641180000000003,0.009981032972972951,0.03525014292575686
2153,1049,2.2590215,4.518043,0.04012853999999999,0.02514369059459473,0.37342124596123516
362,1105,0.4005625,0.801125,0.009818319999999997,0.009723286864864846,0.009679164575523199
1594,537,0.8562465,1.712493,0.00999962,0.009881619243243208,0.011800524095594902
987,1046,1.032925,2.06585,0.05994607999999999,0.04622627270270273,0.22886913201492518
24584,4081,100.3293445,200.658689,0.007631159999999998,0.007862972702702685,0.03037712519494905
2125,1144,2.431572,4.863144,0.007680120000000001,0.007706720972972989,0.003463614236885316
626,1051,0.6584515,1.316903,0.060333,0.03456722329729737,0.4270594318648605
1243,1000,1.2435,2.487,0.05716753999999998,0.06004492913693704,0.050332568743329885
4136,1000,4.1365,8.273,0.035267919999999994,0.03663535140540552,0.03877266947995584
834,1038,0.866211,1.732422,0.06157118,0.05334082999999999,0.13367211737699378
2227,4043,9.0057825,18.011565,0.011742339999999995,0.012405585297297272,0.05648323053984786
957,1000,0.9575,1.915,0.05864014000000001,0.05982374145945919,0.020184151324658933
573,1000,0.5735,1.147,0.00958078,0.050617920202702914,4.283277583109403
3712,1086,4.031775,8.06355,0.007755780000000001,0.007678261567567573,0.009994924099501005
3962,1000,3.9625,7.925,0.03366776,0.03660620206486502,0.08727762300981778
1483,4075,6.0452625,12.090525,0.028372080000000008,0.02960117383783787,0.04332054039879564
1686,1000,1.6865,3.373,0.05164633999999999,0.05300263437837862,0.026261190597022522
4030,1000,4.0305,8.061,0.03947578,0.03648104924324334,0.07586248471231385
3058,958,2.930043,5.860086,0.007700580000000002,0.008240647729729699,0.07013338342432604
1270,1000,1.2705,2.541,0.06023684,0.05921695543783771,0.01693124277704952
3560,759,2.7024195,5.404839,0.00763362,0.00817713200000002,0.07119977153696666
24861,1045,25.9802675,51.960535,0.0076077,0.007589059891891915,0.0024501634013020107
4097,1000,4.0975,8.195,0.03841089999999999,0.03898426062162162,0.014927029088660542
469,3674,1.724943,3.449886,0.0078648,0.008044400648648642,0.022836009644064948
4033,1074,4.331979,8.663958,0.03082444,0.030405318918919046,0.013597037969901672
7300,1079,7.8772395,15.754479,0.00760412,0.007768957081081057,0.02167733821678997
1414,617,0.8727465,1.745493,0.009786560000000005,0.00972447108108106,0.006344304732096309
1509,1047,1.5804465,3.160893,0.009714800000000003,0.014507192918918933,0.49330844885318575
2488,1062,2.642787,5.285574,0.007696500000000002,0.008347452756756793,0.08457776349727675
1428,870,1.242795,2.48559,0.009631840000000001,0.009745715081081099,0.011822775407512772
4124,1000,4.1245,8.249,0.039748879999999986,0.03593835425225243,0.0958649840636404
930,4054,3.772247,7.544494,0.03636908000000001,0.036622939405405265,0.006980088729361674
4040,1000,4.0405,8.081,0.034447900000000004,0.03448097794594593,0.000960231130081229
965,1105,1.0668775,2.133755,0.009685239999999998,0.009807369891891899,0.012609898349643475
4257,3959,16.8554425,33.710885,0.0074746199999999995,0.007758097135135125,0.03792529053451884
1518,1000,1.5185,3.037,0.056486400000000006,0.05848072913513529,0.03530635932074412
832,764,0.63603,1.27206,0.009670960000000001,0.009903161837837866,0.024010215928704556
4171,636,2.653074,5.306148,0.007745200000000001,0.007757558324324334,0.001595610742696576
699,1147,0.8023265,1.604653,0.009628519999999998,0.01003786237837839,0.04251353046765144
3920,4084,16.011322,32.022644,0.0086524,0.00874007264864864,0.010132754917553565
2117,1004,2.12597,4.25194,0.04998524,0.027411197263063042,0.45161417124208986
675,4400,2.9722,5.9444,0.0076206,0.00800747908108108,0.050767535506532395
25064,1000,25.0645,50.129,0.007565840000000001,0.0077466511119691625,0.023898352591273632
814,1018,0.829161,1.658322,0.01010632,0.037186455945945975,2.6795248860065755
826,1050,0.867825,1.73565,0.0609591,0.05066046286486493,0.168943392129068
25066,4067,101.9454555,203.890911,0.00753308,0.007685109783783761,0.020181623424118778
4023,1000,4.0235,8.047,0.03258185999999998,0.031203057783783888,0.04231809406265008
3842,918,3.527415,7.05483,0.00764362,0.00783538216216211,0.02508787225975519
3866,1019,3.9399635,7.879927,0.03877186000000001,0.030474678918919067,0.2140000784352606
1184,1186,1.404817,2.809634,0.009734920000000001,0.00982753567567568,0.009513758271837812
1217,1219,1.4841325,2.968265,0.009654999999999999,0.009566598432432422,0.009156040141644369
9485,4041,38.3309055,76.661811,0.007156560000000003,0.007460786027027037,0.042510092422481535
3232,1137,3.6753525,7.350705,0.00811286,0.007656106378378373,0.056299951141967994
1305,3248,4.240264,8.480528,0.007606059999999999,0.0076557902972972805,0.00653824677918421
3727,1000,3.7275,7.455,0.03936408000000001,0.03807258839324343,0.03280888583593421
2024,1000,2.0245,4.049,0.053321679999999996,0.05474787275675678,0.026746958399599976
4018,710,2.853135,5.70627,0.00769998,0.011559995675675665,0.5013020391839542
2058,1000,2.0585,4.117,0.05544681999999999,0.051333856162162336,0.07417853427550311
3864,4086,15.790347,31.580694,0.00870608,0.00848131140540538,0.025817428118581526
1669,539,0.8998605,1.799721,0.00968672,0.009988579513513493,0.031162200777300645
10665,556,5.930018,11.860036,0.007746399999999999,0.00785210151351354,0.013645243405135347
1707,909,1.5521175,3.104235,0.009719919999999998,0.009852762810810786,0.013667068330890342
1418,1007,1.4284295,2.856859,0.05926996000000002,0.04514623437837824,0.23829483977417523
2048,1000,2.0485,4.097,0.05356755999999998,0.05359685652972989,0.0005469080490115814
708,519,0.3677115,0.735423,0.00958064,0.010090216000000036,0.05318809599359081
4145,1022,4.236701,8.473402,0.0346707,0.03285388432432435,0.05240204771393848
1571,1010,1.587215,3.17443,0.05262520000000001,0.051174077891891864,0.027574662103101676
3104,1191,3.6974595,7.394919,0.008090720000000001,0.007711473351351354,0.04687427678236877
4320,3630,15.683415,31.36683,0.007510920000000001,0.007625573027027021,0.015264844656449611
1744,993,1.7322885,3.464577,0.009884799999999997,0.009666020540540521,0.02213291715153329
24638,1006,24.786331,49.572662,0.007620920000000001,0.007683375297297273,0.008195243789105801
467,3945,1.8442875,3.688575,0.008026680000000001,0.007980726756756734,0.005725062322562648
1192,716,0.85383,1.70766,0.009555200000000002,0.010005596540540533,0.04713627559240321
3633,1000,3.6335,7.267,0.03851336,0.040868825995495725,0.061159711733687255
2257,898,2.027235,4.05447,0.009532320000000004,0.01013814454054056,0.06355478420159584
3994,1000,3.9945,7.989,0.03442816,0.03399421925225232,0.012604238732121525
1317,948,1.24899,2.49798,0.00962364,0.009697187027026998,0.007642329412467517
1089,752,0.819304,1.638608,0.0099209,0.00984661875675676,0.007487349256946495
3649,1000,3.6495,7.299,0.039874940000000005,0.03902807297065659,0.021238076580012852
1241,1018,1.263847,2.527694,0.05362207999999999,0.030606001243243232,0.42922763825567306
24491,4052,99.239558,198.479116,0.007602300000000001,0.0075036850000000125,0.012971732238926184
854,1000,0.8545,1.709,0.06088858000000001,0.058916197189189314,0.032393312683769236
2945,3996,11.770218,23.540436,0.007546500000000001,0.007683690702702709,0.018179381528219466
3302,2582,8.527055,17.05411,0.007598560000000001,0.007625508432432417,0.003546518344583183
909,1000,0.9095,1.819,0.06044842,0.02635543471171173,0.5640012640245728
3714,4090,15.192305,30.38461,0.009327159999999998,0.009026367135135103,0.032249137450723955
552,4051,2.2381775,4.476355,0.04810758,0.0442519508108105,0.08014598092835884
1960,1000,1.9605,3.921,0.05580729999999999,0.0538467565675674,0.03513059102362222
2053,2088,4.287708,8.575416,0.007649939999999999,0.007734941621621648,0.01111141023611278
2224,1054,2.344623,4.689246,0.03812868,0.023851245621621667,0.3744539380429202
6317,622,3.929485,7.85897,0.007578480000000001,0.0076912790270270166,0.01488412280919332
954,1075,1.0260875,2.052175,0.058279620000000004,0.056057786810810646,0.038123673235847415
1223,3331,4.0754785,8.150957,0.0083049,0.007647280121621619,0.07918456313482175
1882,1076,2.02557,4.05114,0.05618968,0.05099613718918926,0.09242876647118724
525,1000,0.5255,1.051,0.0096693,0.0292793318378378,2.0280715085722645
1935,554,1.072267,2.144534,0.01005722,0.009706617027026994,0.03486082366429353
778,610,0.474885,0.94977,0.010070520000000001,0.00977616632432435,0.029229242946307785
4039,1074,4.338423,8.676846,0.030668980000000005,0.029580391351351484,0.03549477839329908
1132,597,0.6761025,1.352205,0.010230459999999999,0.00984831691891895,0.037353460262886315
930,1203,1.1193915,2.238783,0.01000912,0.009704585567567602,0.030425695009391195
24664,4023,99.2252835,198.450567,0.007578319999999999,0.0075745680000000115,0.0004950965385450978
800,1159,0.9277795,1.855559,0.010229219999999999,0.00982376983783782,0.03963646907214621
2430,1028,2.498554,4.997108,0.00765428,0.016257282432432466,1.123946658919254
1665,896,1.492288,2.984576,0.00951098,0.009671018486486476,0.016826708339884595
587,1064,0.6251,1.2502,0.06112974,0.055616248702702674,0.0901932724938357
6293,1076,6.771806,13.543612,0.007651840000000001,0.008469420054054051,0.10684751040979036
2005,1000,2.0055,4.011,0.05540610000000001,0.05578895816216204,0.006910036298567009
2157,1173,2.5307475,5.061495,0.008188500000000001,0.007638766432432455,0.06713483147921426
3586,1025,3.6761625,7.352325,0.036660700000000004,0.03654884967567561,0.003050959865043421
24632,1000,24.6325,49.265,0.007580779999999999,0.007669680054054079,0.011727032581618259
975,1000,0.9755,1.951,0.05976049999999999,0.059892777924710504,0.0022134675029579173
542,1197,0.6493725,1.298745,0.010218019999999996,0.0099482584324324,0.026400571496982366
24539,1000,24.5395,49.079,0.007579260000000001,0.007548378648648683,0.004074454676487915
2316,1000,2.3165,4.633,0.04958222,0.04311022000000015,0.13053066199939922
2305,506,1.166583,2.333166,0.00975236,0.009733177945945913,0.0019669140653223558
971,1087,1.0560205,2.112041,0.009599960000000001,0.009844288810810804,0.02545102383872458
24795,1000,24.7955,49.591,0.007564179999999999,0.007571262075675684,0.0009362648265489105
3871,4092,15.842178,31.684356,0.008677319999999995,0.008324472972972929,0.04066313412748019
1880,4047,7.6103835,15.220767,0.02624877999999999,0.02502365048648649,0.04667376973381231
1947,4074,7.934115,15.86823,0.021281700000000004,0.020593018432432476,0.03236027044679361
2611,1066,2.783859,5.567718,0.008077700000000002,0.00847894399999997,0.04967305049704337
3973,1000,3.9735,7.947,0.033778220000000005,0.03595094275855845,0.06432318691033592
1814,1073,1.9469585,3.893917,0.034171940000000005,0.04274285994594589,0.25081748200265735
3935,1000,3.9355,7.871,0.036654019999999995,0.03470730513050179,0.05311054202235403
24701,1000,24.7015,49.403,0.00747904,0.007848234540540556,0.04936389436887029
426,2557,1.0905605,2.181121,0.008136679999999999,0.008015800648648635,0.014856102409258293
1726,936,1.616004,3.232008,0.009519579999999998,0.00970962870270264,0.019963979787200967
1327,610,0.809775,1.61955,0.01010944,0.00970065783783785,0.04043568804623697
24602,1000,24.6025,49.205,0.007521159999999998,0.007592919027027072,0.009540952064186049
3750,1049,3.9342745,7.868549,0.016014120000000007,0.03616098940540545,1.2580690918642694
1124,2383,2.6796835,5.359367,0.00767406,0.007711730594594624,0.0049088220048611126
725,4897,3.5527735,7.105547,0.007697740000000004,0.008025885027027054,0.04262874909090848
3169,1225,3.8826375,7.765275,0.007624600000000001,0.007662279621621608,0.004941848965402287
4151,1000,4.1515,8.303,0.03589316,0.03634826048648638,0.012679309553307061
24973,1000,24.9735,49.947,0.00814902,0.007775203445945908,0.04587257781353973
1892,3451,6.5310175,13.062035,0.007639599999999999,0.007963046432432444,0.04233813713184522
670,1000,0.6705,1.341,0.05996724000000002,0.060532282648648475,0.009422522174581586
3991,1000,3.9915,7.983,0.03438438,0.03445083312741317,0.0019326545196735067
2449,1140,2.79243,5.58486,0.007625160000000001,0.0077050014594594275,0.010470791361679868
1115,1010,1.126655,2.25331,0.05457946000000002,0.049335468261261166,0.09607994910061128
4167,1000,4.1675,8.335,0.0351795,0.03685652390870872,0.047670487320988615
967,4025,3.8941875,7.788375,0.03966402,0.02981538178378373,0.24830156439554715
873,1020,0.89097,1.78194,0.060594860000000014,0.039573937567567684,0.34690933244886324
9686,1000,9.6865,19.373,0.015008820000000003,0.013476441027027069,0.10209856424242104
933,693,0.6469155,1.293831,0.010071179999999999,0.00983749216216219,0.023203620413676386
4040,1000,4.0405,8.081,0.03428202,0.03448097794594593,0.005803565424263954
467,858,0.401115,0.80223,0.010161280000000002,0.010054511837837822,0.010507353617081671
491,697,0.3425755,0.685151,0.008159360000000003,0.008768826162162182,0.07469533911509957
2519,514,1.295023,2.590046,0.009631919999999999,0.009792607027027004,0.01668276179899805
25076,1022,25.628183,51.256366,0.007596299999999999,0.007628044724324357,0.004178971910582475
2006,1000,2.0065,4.013,0.05457589999999998,0.05578895816216204,0.022226993272892577
4089,1000,4.0895,8.179,0.036580100000000004,0.03666888606435027,0.002427168442685192
24728,1000,24.7285,49.457,0.007614279999999998,0.007824299736808238,0.027582350111663875
856,1000,0.8565,1.713,0.06049438,0.058900070810810924,0.026354666155584638
3624,1000,3.6245,7.249,0.036140820000000004,0.036817134792792784,0.01871332174512864
1659,725,1.2031375,2.406275,0.00960536,0.009821206378378407,0.02247145118750439
1547,1035,1.6016625,3.203325,0.05318991999999999,0.030435912108108136,0.4277879698238286
3876,1000,3.8765,7.753,0.03738992,0.03731084122715568,0.002114975716565309
1923,1023,1.9677405,3.935481,0.05369236000000001,0.03141143162162145,0.4149739064995197
2419,794,1.921083,3.842166,0.009608039999999998,0.009742891081081126,0.014035233104892155
690,1037,0.7160485,1.432097,0.058549880000000006,0.0548094957297297,0.06388372222573821
726,4077,2.9619405,5.923881,0.03874273999999999,0.04040338762162176,0.04286345316882
1148,653,0.7499705,1.499941,0.009901920000000002,0.00993589843243243,0.0034314993892526784
4050,1000,4.0505,8.101,0.03578758,0.034998704243243084,0.02204328308192159
3742,1004,3.75747,7.51494,0.03740862000000002,0.038981282729729776,0.04204011614782255
3625,1000,3.6255,7.251,0.03675294,0.03679716358108119,0.0012032664891895198
4155,1000,4.1555,8.311,0.03770148,0.03481543383783788,0.07654994345479595
2399,1190,2.855405,5.71081,0.00768224,0.007691560972972974,0.001213314472468193
24772,1000,24.7725,49.545,0.0075353400000000015,0.007674724277992253,0.018497410600218676
1877,960,1.8024,3.6048,0.009601720000000001,0.011043384162162197,0.15014644898645196
9267,1000,9.2675,18.535,0.014305240000000002,0.013710885837837762,0.04154800354011818
2303,1000,2.3035,4.607,0.04716932000000001,0.043722452729729584,0.07307434727213415
293,1078,0.316393,0.632786,0.010122839999999998,0.012890734486486522,0.2734306268286889
2310,4022,9.292831,18.585662,0.01299606,0.013796755351351345,0.06161062286195543
3153,630,1.986705,3.97341,0.009625759999999999,0.009651928594594605,0.00271860035930734
356,858,0.305877,0.611754,0.00963418,0.009783011459459487,0.015448274732202236
9578,1000,9.5785,19.157,0.015282780000000001,0.013920086756756763,0.08916527249906352
356,989,0.3525785,0.705157,0.0101317,0.0096099783783784,0.05149398636177548
2213,721,1.5959335,3.191867,0.009706900000000001,0.00971311886486485,0.0006406643588425432
4126,1000,4.1265,8.253,0.037498079999999996,0.036629844900901,0.02315412146699231
1418,1163,1.6497155,3.299431,0.01006968,0.00980157675675674,0.026624802699118474
1029,1000,1.0295,2.059,0.06008090000000002,0.05895141545945943,0.018799394492103
2071,980,2.03007,4.06014,0.009589140000000001,0.009720068054054069,0.013653784808029437
24828,1011,25.1016135,50.203227,0.007555739999999997,0.007677114918918931,0.016063935354966377
1617,1085,1.7549875,3.509975,0.01009852,0.00967309864864868,0.04212709895621537
1212,1221,1.4804625,2.960925,0.010071720000000001,0.009562975351351328,0.050512191427946086
24557,1000,24.5575,49.115,0.007869619999999999,0.007741407081081043,0.016292135950523107
2559,918,2.349621,4.699242,0.00768346,0.0076552852972972965,0.003666929053148328
24815,1000,24.8155,49.631,0.0076284000000000005,0.007668957675675659,0.005316668721574477
4111,1000,4.1115,8.223,0.03789666,0.03690713167567581,0.026111227858185627
979,1136,1.112712,2.225424,0.01010992,0.00969037140540545,0.041498705686548405
1632,1024,1.67168,3.34336,0.049323559999999995,0.041297580162162124,0.1627210168495111
857,1033,0.8857975,1.771595,0.059819239999999996,0.04050817994594603,0.3228235606813789
643,723,0.4652505,0.930501,0.00972552,0.00989501151351354,0.01742750141005723
685,1032,0.707436,1.414872,0.010017880000000002,0.0458951001081081,3.581318613130532
1914,1004,1.922158,3.844316,0.05293918,0.04720722799999989,0.10827428758813622
3809,881,3.3561695,6.712339,0.007806960000000001,0.007749106054054029,0.007410560057432316
9287,1000,9.2875,18.575,0.015326040000000006,0.013237164432432376,0.13629584469097233
1145,690,0.790395,1.58079,0.009615759999999998,0.009863004054054032,0.02571237781038987
2373,744,1.765884,3.531768,0.00959418,0.009573569567567556,0.00214822240487929
1574,1003,1.5792235,3.158447,0.05369516,0.05180532556756758,0.03519561972498855
2088,1015,2.1198275,4.239655,0.0494819,0.03804707340540546,0.23109109784778964
2233,1024,2.287104,4.574208,0.021062220000000006,0.04302059162162136,1.042547823620746
3713,1000,3.7135,7.427,0.035570479999999995,0.03671892340540517,0.032286418552832964
566,4040,2.28866,4.57732,0.037678140000000006,0.046200338972972745,0.2261841739792022
2117,3037,6.4308475,12.861695,0.007612299999999999,0.0077419714594594785,0.01703446520230149
1612,1005,1.6205625,3.241125,0.00956906,0.054432098108108035,4.688343275944349
4335,639,2.7703845,5.540769,0.0075658200000000035,0.007916474054054053,0.04634713144828307
1904,1033,1.9673485,3.934697,0.05393226000000001,0.04255210518918911,0.2110083058045574
1835,4066,7.463143,14.926286,0.025663879999999993,0.027123539729729702,0.056876034712199
3899,1020,3.97749,7.95498,0.03640955999999997,0.034419193135135126,0.054666051027940143
3995,4053,16.1937615,32.387523,0.008986600000000003,0.008843683081081067,0.01590333595786344
901,980,0.88347,1.76694,0.010051319999999999,0.009838048972972966,0.02121821084464853
1404,1027,1.4424215,2.884843,0.010088900000000001,0.03144521908108098,2.1168134366562237
4149,1000,4.1495,8.299,0.03501346,0.03544144945945936,0.012223569434707569
1830,814,1.490027,2.980054,0.00974096,0.009655373027027021,0.008786297549007343
3916,4085,15.9989025,31.997805,0.009318139999999997,0.008336625675675662,0.10533371727880629
2111,4209,8.8873035,17.774607,0.00755762,0.012995254486486436,0.7194903271779258
2534,817,2.0706865,4.141373,0.009663899999999998,0.011037964324324346,0.1421852796825659
3739,915,3.4216425,6.843285,0.0076869000000000035,0.007722017675675628,0.00456850950000966
2204,991,2.1846595,4.369319,0.00809908,0.00769722043243242,0.04961792790879702
734,1000,0.7345,1.469,0.05915644,0.04892973547297311,0.17287559100964986
2930,787,2.3063035,4.612607,0.007692219999999997,0.007698001135135112,0.0007515561353048597
25039,1068,26.742186,53.484372,0.007602980000000004,0.007641492216216221,0.005065410696360753
3237,3640,11.7845,23.569,0.007567560000000002,0.007678946810810787,0.014718986147554226
2043,1065,2.1763275,4.352655,0.043239659999999985,0.028171027891891777,0.3484909943350205
3825,1000,3.8255,7.651,0.03592297999999999,0.03482671297271543,0.03051715161950823
1169,2500,2.92375,5.8475,0.008178000000000001,0.007713003837837849,0.056859398650299854
1042,669,0.6974325,1.394865,0.01011456,0.009885373783783806,0.022659039663237308
3760,1000,3.7605,7.521,0.036701040000000004,0.03649687103320466,0.0055630294617085175
926,709,0.6568885,1.313777,0.010063200000000003,0.009876975351351376,0.018505510041401
1224,1010,1.236745,2.47349,0.056326219999999996,0.04769410858918915,0.15325209841545995
1407,919,1.2934925,2.586985,0.009631699999999998,0.009950864864864881,0.03313691922141295
1416,4309,6.1036985,12.207397,0.007733160000000002,0.007684123189189183,0.006341109043498287
6959,584,4.064348,8.128696,0.00771704,0.007662433351351359,0.007076113205146074
4121,4057,16.7209255,33.441851,0.00817854,0.008330620918918917,0.018595118311937983
2182,4561,9.9543825,19.908765,0.007574780000000001,0.007577523351351343,0.0003621691126795076
816,4045,3.3027425,6.605485,0.03694275999999999,0.03870664248648647,0.04774636455117262
414,1148,0.475846,0.951692,0.01016272,0.010040762864864872,0.012000442316144468
894,1000,0.8945,1.789,0.06096368,0.056864996504504516,0.06723156304697295
4096,1000,4.0965,8.193,0.03850565999999999,0.0368834911891891,0.042128061454105484
1925,751,1.4460505,2.892101,0.010162020000000003,0.00968278756756755,0.04715917036499162
2625,1019,2.6753845,5.350769,0.00763036,0.007899372108108087,0.03525549359507109
3871,1025,3.9682875,7.936575,0.03863304,0.03301904540540542,0.14531589009289922
312,992,0.31,0.62,0.00966202,0.00986177989189189,0.020674754543241393
3949,4025,15.8967375,31.793475,0.008610099999999999,0.008235482972972953,0.04350902161729205
2591,903,2.3401245,4.680249,0.00760854,0.007654667999999996,0.006062661167582329
2353,1000,2.3535,4.707,0.047772999999999996,0.040068045189189154,0.16128262430265722
2302,1051,2.4199275,4.839855,0.03885336000000001,0.023667500324324308,0.39085061563982365
1589,1071,1.7023545,3.404709,0.009709219999999998,0.02646848810810813,1.726118896070759
2495,868,2.166094,4.332188,0.007810720000000002,0.007678905891891918,0.01687605087726665
1763,1000,1.7635,3.527,0.056293299999999984,0.05584984388457741,0.00787760027254711
1618,1188,1.922778,3.845556,0.009636680000000002,0.009771732162162188,0.014014386921863808
6815,623,4.2460565,8.492113,0.0076165999999999985,0.007666816324324305,0.006593010572211569
1851,1000,1.8515,3.703,0.05278312,0.0535553728648648,0.014630678612116883
883,3729,3.2945715,6.589143,0.007674340000000002,0.007678981459459471,0.0006048024272405542
1800,1075,1.9355375,3.871075,0.04816162,0.045168802216216136,0.06214113611178083
843,1000,0.8435,1.687,0.05917465999999998,0.059756982648648614,0.009840743464324614
3881,1074,4.168731,8.337462,0.03689731999999999,0.03253660751351356,0.11818507378005859
24917,1052,26.21321,52.42642,0.007569360000000001,0.007590643351351343,0.0028117768677064546
