feature0,feature1,feature2,True,Pred,Error
7,153,153,0.018868839999999994,0.01941269926782497,0.028823142695840066
14,545,545,0.00451716,0.004490303252252237,0.005945494015656621
14,266,266,0.007154439999999999,0.0045171537153153,0.36862232189866695
112,136,136,0.00462128,0.004450049645173769,0.03705258171463997
14,990,990,0.0044764,0.004534401376254817,0.012957147764904075
56,500,500,0.00446886,0.004459447575804373,0.002106224897541398
14,35,35,0.01676078,0.015104121377734894,0.0988413798322695
28,510,510,0.004376659999999999,0.004448232911196902,0.016353317643340456
56,765,765,0.0044456999999999995,0.004462371090090086,0.003749935913373969
28,172,172,0.004450879999999999,0.0045127216999356476,0.013894263591839926
14,109,109,0.004530440000000001,0.010293493648648571,1.2720737166033695
14,259,259,0.00444194,0.004887537923423428,0.10031606087057182
28,219,219,0.00454838,0.004487484468057037,0.013388400253049148
14,1021,1021,0.004472060000000001,0.004690149729729728,0.04876717435135652
7,780,780,0.00446738,0.005129609081081115,0.1482365684318583
14,220,220,0.005981799999999996,0.008382805166259112,0.4013850623991303
28,95,95,0.00449276,0.0044799074279279335,0.002860729723391997
112,181,181,0.00447444,0.0044655358864865,0.0019899950638514537
7,85,85,0.01736391999999999,0.01878882948648652,0.08206150952587497
14,298,298,0.0044675,0.005435804529343596,0.21674415877864478
112,133,133,0.004424179999999999,0.004437584373745187,0.003029798458739991
14,398,398,0.0044423,0.004501726903346214,0.013377507900460179
112,142,142,0.0044915400000000005,0.004502590331531554,0.002460254507708575
112,226,226,0.00447816,0.004495919243243263,0.003965745583736001
56,1067,1067,0.00445166,0.004504522108108085,0.011874695755759813
28,37,37,0.007949680000000002,0.0147338023603603,0.8533830745841713
7,54,54,0.020327780000000004,0.018811366194079755,0.07459810200229676
28,170,170,0.004512940000000001,0.004496321790862288,0.0036823465717941554
14,35,35,0.018361020000000006,0.015104121377734894,0.1773811379904336
112,529,529,0.00444506,0.004503971028828801,0.013253145925769587
56,335,335,0.004514860000000001,0.004458787891891908,0.012419456662685593
14,13,13,0.012626119999999998,0.01766080229453026,0.39875134202195645
14,1462,1462,0.004355380000000001,0.004372125567567584,0.003844800584009549
28,69,69,0.004666820000000001,0.004709062639639625,0.009051696795596116
56,11,11,0.004425899999999999,0.011055163241827506,1.4978339415322326
112,1002,1002,0.00451964,0.004490760864864861,0.00638969810319828
28,673,673,0.0044646799999999995,0.004472349513513514,0.001717819309225919
14,78,78,0.018371500000000002,0.010670327012419503,0.41919130106853
14,238,238,0.006234819999999999,0.007260416934234241,0.16449503501853163
28,389,389,0.004400540000000001,0.0044203398810811,0.0044994207713368655
28,44,44,0.006788540000000001,0.007606423586100404,0.12048004226246035
14,181,181,0.00451148,0.01728362236036034,2.831031581733786
56,176,176,0.004990839999999999,0.004505386739081935,0.09726884871445778
1,365,365,0.008015059999999997,0.017095211567567603,1.132886287509714
28,170,170,0.00453882,0.004496321790862288,0.00936327264304636
112,205,205,0.00431924,0.0043644116872586765,0.010458248964789241
56,471,471,0.004487339999999999,0.004459582810810786,0.0061856666063221325
14,478,478,0.004857719999999999,0.004557299963963948,0.061843835386982335
7,263,263,0.01269904,0.011715270360360387,0.07746803220082879
112,152,152,0.00441796,0.004474216459459437,0.012733582798268165
14,140,140,0.00477958,0.007566668195495492,0.5831240810898638
56,750,750,0.00452184,0.00447511599999999,0.010332961803162016
28,475,475,0.00443044,0.004465977513513499,0.008021215390232008
28,313,313,0.0044687600000000004,0.004525896983783773,0.012785869857359198
14,119,119,0.013369200000000005,0.015735998237752027,0.17703364732011054
14,254,254,0.012869939999999993,0.006228064135907333,0.5160766766661432
28,47,47,0.008821640000000002,0.00804337245045047,0.08822254700367864
56,142,142,0.004399399999999999,0.004442029825225219,0.009689917994549347
28,64,64,0.00859396,0.007924121856628052,0.07794289749684045
28,146,146,0.0044494,0.004464309843457743,0.0033509784370349565
14,170,170,0.015538799999999997,0.01178541423063061,0.24154926824268208
14,36,36,0.025121279999999992,0.012376596381981969,0.5073262038406493
14,1122,1122,0.0044396999999999995,0.004504529351351359,0.014602191893902567
14,34,34,0.010864299999999995,0.017727760670527667,0.6317443986752643
28,269,269,0.004440599999999999,0.004577795027027009,0.03089560578007694
28,213,213,0.0044655400000000005,0.004549981470012861,0.018909576448281826
7,586,586,0.011583560000000003,0.005674291111454308,0.5101427271534565
28,222,222,0.00454506,0.004509505765765781,0.007822610534122535
14,523,523,0.004441,0.004562403758687273,0.027337031904362433
112,70,70,0.00452024,0.004484916810810819,0.00781444993831768
112,436,436,0.004474020000000001,0.004420245081081069,0.01201937383358425
14,981,981,0.00451388,0.004501510297297308,0.002740370302864047
28,269,269,0.0045629,0.004577795027027009,0.0032643772659951163
1,926,926,0.011580339999999996,0.016634309135135163,0.4364266623549195
14,259,259,0.00446,0.004887537923423428,0.09586052094695684
14,72,72,0.01864456,0.014501906323423373,0.22219101317363496
14,122,122,0.01262798,0.02026407502252244,0.6046964773877089
28,259,259,0.004502880000000001,0.004548644441441422,0.010163371318227659
14,522,522,0.004593900000000001,0.004481821222651223,0.024397304544891526
28,239,239,0.004557539999999998,0.004590372927027026,0.007204089712219327
14,666,666,0.0045894,0.0045107569320463415,0.017135805977613404
14,58,58,0.018062340000000003,0.01838866833359075,0.01806678058273435
7,78,78,0.027919659999999995,0.01372195962162168,0.5085198164439796
14,187,187,0.008821620000000002,0.007207604636036028,0.1829613340819457
28,90,90,0.009732439999999998,0.0045369223931788745,0.5338350513150992
14,1546,1546,0.00442168,0.004384313459459445,0.008450756395884515
14,1070,1070,0.004511859999999999,0.004704449189189167,0.04268509864870999
28,69,69,0.00448016,0.004709062639639625,0.05109251447261363
14,28,28,0.011658599999999996,0.01629580844193477,0.39775002504029416
7,506,506,0.016916080000000003,0.015182891196396445,0.10245806378330904
28,34,34,0.011903459999999998,0.00719047518970402,0.3959340234096623
14,164,164,0.00713252,0.01101906903504932,0.5449054520771509
14,655,655,0.004424440000000001,0.004479263205405401,0.012390993076050301
28,200,200,0.004610299999999999,0.004531990661003869,0.0169857360683967
14,489,489,0.004450739999999998,0.004516977236164739,0.014882297362852202
28,108,108,0.004480580000000001,0.0044474983864864984,0.0073833328527786405
56,69,69,0.0045807800000000004,0.0044929890810810865,0.01916505898971659
112,862,862,0.004435659999999999,0.004465764743243254,0.006786981699060498
14,465,465,0.00449652,0.004486088270270289,0.0023199562616671413
28,205,205,0.004545359999999999,0.004540120919047602,0.0011526217840605209
7,534,534,0.00990892,0.015734751405405423,0.5879380805784509
28,806,806,0.004650320000000001,0.0044956184864865046,0.03326685335923046
28,201,201,0.004616859999999999,0.004529421427670535,0.018938969847355953
3,50,50,0.004504740000000001,0.0205713159182969,3.5665933923593585
112,2044,2044,0.004450680000000001,0.004461198162162164,0.0023632708175297247
56,6,6,0.008354740000000001,0.017092780056628076,1.0458781549908283
7,210,210,0.01810358,0.013044984824324314,0.27942512893448074
3,191,191,0.021955340000000004,0.02015969262741309,0.08178636143129249
14,261,261,0.0044408,0.008396360229729716,0.8907314514793994
14,529,529,0.00444418,0.004463873989189169,0.004431411236531657
7,212,212,0.011701860000000001,0.015584582400000048,0.3318038670775455
28,103,103,0.00450292,0.00446145970733592,0.009207423774812725
112,55,55,0.004503759999999999,0.004507996579279291,0.0009406760749445826
7,560,560,0.02193934,0.00776530823166023,0.6460555225608322
28,137,137,0.004503320000000002,0.004445644941172337,0.012807230849165734
14,82,82,0.00971788,0.016892455466516593,0.7382860733530969
28,1002,1002,0.00452662,0.004477904864864883,0.010761922833177298
56,157,157,0.00437814,0.00449478966795368,0.02664365871207411
3,941,941,0.02378146000000001,0.01603787575135139,0.3256143335459058
28,156,156,0.004470439999999999,0.00450457218120977,0.007635083170732912
56,1025,1025,0.0045201799999999995,0.004469025027027042,0.011317021218835913
56,969,969,0.004490739999999998,0.0044645064864864865,0.005841690570710338
112,77,77,0.004474480000000001,0.004503825632432408,0.006558445323793346
7,29,29,0.026449739999999996,0.02294714195302437,0.13242466833230224
112,88,88,0.004501640000000001,0.004490543711711742,0.0024649435068684043
7,1753,1753,0.0044927399999999985,0.004508107189189212,0.0034204492557355685
56,29,29,0.0044539600000000025,0.004487932824324325,0.0076275548779788085
28,27,27,0.004964460000000001,0.014793132106306308,1.979806888625612
56,249,249,0.004515519999999999,0.004525714902316603,0.002257747129146413
112,185,185,0.004474359999999999,0.004454539336936957,0.004429831990059412
28,176,176,0.00453666,0.004519957554194458,0.003681661355609921
112,490,490,0.00452438,0.0044852716675675515,0.008643909758342196
14,174,174,0.004509280000000001,0.012568681337194274,1.7872922810724265
28,188,188,0.00451418,0.004522991776383514,0.0019520214930540724
14,1323,1323,0.00452388,0.004479839027027002,0.009735221308478056
56,530,530,0.004486379999999999,0.004447917020849442,0.008573277152304763
14,28,28,0.009887179999999999,0.01629580844193477,0.6481755608712262
14,155,155,0.004471759999999999,0.011528186853539285,1.5779976683764978
112,45,45,0.004504000000000001,0.004532015981081067,0.0062202444673770795
7,11,11,0.0141811,0.01834543979395111,0.2936542153959221
14,143,143,0.017580059999999998,0.008295777461448424,0.5281143829174403
7,548,548,0.019612739999999997,0.015315736900900892,0.21909244190761237
14,244,244,0.013687500000000009,0.0075169710540540875,0.4508149001604323
14,65,65,0.014852880000000002,0.010653062960746473,0.2827611237183313
28,387,387,0.0043926,0.0044203398810811,0.006315139343691698
14,149,149,0.021205140000000004,0.007975349175933042,0.6238954717614201
14,107,107,0.008069620000000001,0.010111563463963955,0.2530408450415203
112,805,805,0.004488200000000001,0.004475726845045039,0.002779099629018733
28,75,75,0.0044613199999999995,0.007857670583783795,0.7612882697909577
14,966,966,0.004597100000000001,0.004558683189189207,0.00835674899627892
14,502,502,0.004541039999999999,0.004476613203281856,0.014187674347317597
14,935,935,0.004593240000000001,0.0046027301621621945,0.002066115021682606
56,503,503,0.00453028,0.004753125380180171,0.04919020020399854
28,173,173,0.0046773,0.00451660879119574,0.034355548885951215
14,29,29,0.014637160000000007,0.018497823196589505,0.26375766860439437
56,805,805,0.0044962399999999994,0.004465000220720696,0.0069479785952936595
14,163,163,0.004392859999999999,0.009651079056885442,1.1969921775074652
112,85,85,0.0044389,0.004473849297297317,0.007873413975831228
56,506,506,0.0044528400000000004,0.004489116669369351,0.008146861187321072
