model_path,HW,CIN,CIN,latency
add_prior_OD72V7.pt,14,68,68,0.0046580799999999985
add_prior_OUQXQ4.pt,14,232,232,0.0147354
add_prior_TACHVX.pt,14,224,224,0.0045927599999999996
add_prior_6D82X1.pt,14,138,138,0.0068255600000000005
add_prior_446F6B.pt,3,473,473,0.011123419999999997
add_prior_GP6UTM.pt,28,133,133,0.0044645200000000005
add_prior_IDGLNG.pt,28,25,25,0.010641060000000004
add_prior_EXBHEA.pt,28,944,944,0.0045051399999999995
add_prior_4EP8JF.pt,28,208,208,0.00446168
add_prior_3ER4X1.pt,14,220,220,0.01249191999999999
add_prior_6E69X9.pt,28,239,239,0.004557539999999998
add_prior_C2RZBX.pt,28,346,346,0.004517039999999999
add_prior_3S38SC.pt,14,57,57,0.017267399999999995
add_prior_QTY2PQ.pt,14,255,255,0.0044387
add_prior_3A1NS1.pt,28,229,229,0.004585260000000001
add_prior_4DXOUV.pt,7,211,211,0.01624652
add_prior_GSUALZ.pt,112,1647,1647,0.00447674
add_prior_ARD4NQ.pt,56,574,574,0.0043936999999999995
add_prior_N4WEIX.pt,7,190,190,0.01575264
add_prior_C8N51H.pt,56,774,774,0.004506880000000002
add_prior_V8RJ1C.pt,14,511,511,0.004501099999999999
add_prior_SSJJDX.pt,14,199,199,0.005915179999999997
add_prior_KPE5Q4.pt,56,714,714,0.0044446799999999995
add_prior_P9JG3S.pt,56,172,172,0.0045635799999999985
add_prior_5SN8X6.pt,112,70,70,0.004474379999999999
add_prior_G17FYD.pt,14,225,225,0.011506380000000005
add_prior_A9QSEU.pt,56,188,188,0.00445744
add_prior_65BS0A.pt,14,545,545,0.00451716
add_prior_L4BJR3.pt,28,490,490,0.004412460000000001
add_prior_IO8NH2.pt,7,519,519,0.010233520000000001
add_prior_X05VF4.pt,28,12,12,0.008159159999999997
add_prior_DDLAB8.pt,14,65,65,0.014852880000000002
add_prior_ISEILE.pt,14,271,271,0.011868919999999991
add_prior_5FKI2W.pt,7,114,114,0.014191080000000002
add_prior_NJHTMX.pt,28,259,259,0.004580640000000001
add_prior_Q5P93Y.pt,56,788,788,0.004485759999999999
add_prior_5Y9F63.pt,112,206,206,0.004362700000000001
add_prior_3M6CVS.pt,1,993,993,0.024898860000000002
add_prior_DY9PZC.pt,14,101,101,0.013559159999999997
add_prior_N7NYE5.pt,28,1140,1140,0.0044569399999999995
add_prior_68ZFNM.pt,56,494,494,0.00442872
add_prior_6SM3CQ.pt,14,219,219,0.004454719999999999
add_prior_EDYGQ3.pt,56,109,109,0.004448539999999999
add_prior_KEL201.pt,56,8,8,0.006621260000000001
