feature0,feature1,feature2,True,Pred,Error
14,30,30,0.0046514,0.004613489295624211,0.008150385771120303
14,524,524,0.004615419999999999,0.00462731622522524,0.0025774957046683345
56,173,173,0.0046078199999999995,0.00462459042702702,0.0036395577576859924
56,360,360,0.00467274,0.004624780027027045,0.010263779489754406
56,95,95,0.0046198,0.0045705520702702986,0.010660186529655339
7,164,164,0.004683079999999999,0.0046185428162162,0.01378092703601025
28,142,142,0.004620560000000001,0.004600448907464602,0.004352522753821878
28,109,109,0.004590520000000002,0.004579219495495501,0.0024617046662470375
28,237,237,0.0046942600000000004,0.004683308557142854,0.0023329433940911417
56,117,117,0.00455686,0.004581072812612631,0.005313486175267805
7,180,180,0.0045724599999999995,0.004630816495495515,0.012762603827155435
112,289,289,0.0047171999999999995,0.0046479970333333275,0.01467034822917664
14,233,233,0.00459904,0.004701421238738718,0.02226143689524716
112,228,228,0.00466396,0.004628436000000026,0.007616703402253514
7,153,153,0.0046799599999999995,0.004607026859459474,0.015584137586758275
14,956,956,0.00471546,0.004711633801801792,0.0008114156833496672
14,481,481,0.004651219999999999,0.004635938639639663,0.0032854520664118217
7,186,186,0.004773620000000001,0.004618771894658943,0.0324382974223038
14,30,30,0.0046603999999999994,0.004613489295624211,0.010065810740663556
56,3,3,0.004611559999999998,0.0046201287837837925,0.001858109573288521
14,64,64,0.004582420000000001,0.004665894884427303,0.018216332075039445
14,547,547,0.004621200000000001,0.004613854282282259,0.0015895693148406812
28,2010,2010,0.0046377599999999995,0.004620499621621596,0.0037217058188442503
14,204,204,0.00459748,0.0046633456462033375,0.014326467152295908
14,823,823,0.00472288,0.00465131140540542,0.015153591578566354
14,169,169,0.004632699999999998,0.004628119903603634,0.0009886451521498346
28,213,213,0.00464022,0.004654279027027021,0.003029819066126507
56,136,136,0.004610600000000001,0.004637001656756749,0.005726295223343517
56,208,208,0.004691320000000001,0.0046823523081081135,0.001911549817937783
14,152,152,0.00461076,0.004701532079386513,0.019687010251349533
7,170,170,0.004613839999999998,0.004663843657657655,0.010837752860449539
56,497,497,0.00465448,0.004600669576576551,0.011560995733884066
