feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
56,397,148,1,1,184.722944,0.058904,0.024771019999999998,0.02470525345,0.002654979488127609
14,500,58,1,1,5.695368,0.029058,0.026928960000000005,0.026103825350000043,0.030641162896746166
112,319,101,1,1,405.42208,0.03232,0.02469224,0.02502920254999998,0.013646495822168392
8,151,97,7,1,45.9392,0.7178,0.034906800000000016,0.03343781549999998,0.042083046856200894
56,539,46,1,1,77.89824,0.02484,0.026015760000000002,0.02581240770000012,0.007816504303540736
8,85,39,1,1,0.214656,0.003354,0.02475124,0.024670796450000004,0.003250081612072624
14,504,159,5,1,392.697564,2.003559,0.03354766,0.03401004924999988,0.013783055211596947
112,170,45,1,1,96.52608,0.007695,0.024911260000000005,0.025131284450000017,0.00883232923585608
3,166,221,7,1,16.180515,1.797835,0.03510376000000001,0.03354641710000007,0.044363991207777696
13,188,34,3,1,9.727978,0.057562,0.026073859999999994,0.03166729835,0.2145228343636119
8,975,345,5,1,538.22208,8.40972,0.03465938,0.03243471880000003,0.06418641072056003
56,49,94,3,1,130.294528,0.041548,0.025521939999999996,0.025461082000000097,0.0023845365987029132
13,60,226,1,2,0.5824585,0.013786,0.03196944000000001,0.031664120200000055,0.009550364347950837
14,243,101,5,1,120.280496,0.613676,0.034437859999999994,0.03441795864999998,0.0005778915995364076
13,46,66,1,1,0.524238,0.003102,0.024582199999999995,0.02436053265000004,0.00901739266623632
56,158,134,3,2,149.494688,0.190682,0.03419101999999998,0.03311004285000012,0.031615820469815294
13,233,119,5,1,117.166686,0.693294,0.03479447999999999,0.03409819949999993,0.020011234540652886
3,1262,138,1,1,1.568646,0.174294,0.026289579999999993,0.02491286784999994,0.05236721735379771
13,621,83,1,1,8.724794,0.051626,0.02570160000000001,0.026008894699999924,0.011956247860052106
14,1421,19,3,1,47.62996,0.24301,0.0256306,0.029343680649999895,0.14486904910536214
7,69,493,3,2,3.7564135,0.306646,0.03504734000000001,0.03382551189999993,0.03486222064213942
13,827,141,1,2,4.932603,0.116748,0.03378372,0.03249283344999985,0.03821031402107744
