feature0,feature1,feature2,True,Pred,Error
28,173,173,0.00456418,0.00466214774646074,0.02146447915304383
28,201,201,0.004703439999999999,0.0046812066443157494,0.0047270414173986265
56,3,3,0.004611559999999998,0.004621619891891892,0.0021814509389218198
56,8,8,0.00462594,0.004648967081081108,0.00497781663426419
14,506,506,0.004772179999999999,0.0045959668756756855,0.03692507917226794
7,164,164,0.004613959999999999,0.004629656765057924,0.0034020158514432154
14,76,76,0.004548859999999999,0.004600985310810796,0.011458983308080808
56,20,20,0.00459518,0.004632761303603601,0.008178418169386328
14,129,129,0.00460068,0.004612739260360349,0.0026211908588184268
14,1391,1391,0.00465406,0.004653920918918928,2.9883817800395052e-05
7,489,489,0.004614420000000001,0.004656293409523799,0.009074468627432723
7,174,174,0.004627799999999999,0.004663283862548258,0.007667544524019967
28,45,45,0.0046161399999999995,0.004584590072522519,0.006834699007716565
56,208,208,0.004691320000000001,0.0046806630642213755,0.002271628407063678
3,40,40,0.00462212,0.004642614283440591,0.004433957456879242
14,298,298,0.0045496,0.004637841020849404,0.019395336040400033
14,993,993,0.00465898,0.004688868193178901,0.006415179541208872
14,240,240,0.004631840000000001,0.004657342144401547,0.005505834485117455
56,597,597,0.00463942,0.004629736045045058,0.0020873201725522357
28,59,59,0.0046968,0.0046437701002574145,0.011290644639453578
14,324,324,0.004570940000000001,0.00469391595418276,0.026903865328085433
56,122,122,0.004578700000000001,0.0046206305747747934,0.009157746691155301
7,1754,1754,0.00461228,0.004594120918918938,0.003937115934215233
56,143,143,0.004605280000000001,0.004666483108108125,0.01328976915803689
56,457,457,0.00462966,0.004624003942342349,0.0012217004396977186
56,71,71,0.004600319999999998,0.0046702745855212125,0.015206460750820498
56,1027,1027,0.0046029200000000025,0.004638143945945963,0.00765252186567667
14,33,33,0.004607439999999999,0.004622328997039906,0.0032315118677414345
28,163,163,0.00461422,0.004657956551351338,0.00947864457077007
14,499,499,0.004652159999999999,0.00459751415637065,0.011746337965450146
14,168,168,0.004624059999999999,0.004683916376126137,0.012944550054743598
56,95,95,0.004564500000000001,0.0045943349083655,0.006536292773688119
28,38,38,0.004584660000000001,0.004632511306048904,0.010437263842662928
