model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_XTXP4Y.pt,7,108,108,3,2,0.01323,0.00108,0.019743159999999996
dwconv-bn-relu_prior_IVE4MU.pt,7,42,42,5,2,0.013377,0.001092,0.019622099999999996
dwconv-bn-relu_prior_VBNL4Z.pt,7,42,42,5,2,0.013377,0.001092,0.01992322
dwconv-bn-relu_prior_E77T59.pt,7,28,28,3,1,0.01372,0.00028,0.019795820000000002
dwconv-bn-relu_prior_NMQRMZ.pt,7,28,28,3,1,0.01372,0.00028,0.01987834
dwconv-bn-relu_prior_SLSBFJ.pt,7,28,28,3,1,0.01372,0.00028,0.01983676
dwconv-bn-relu_prior_JQWCN5.pt,7,112,112,3,2,0.01372,0.00112,0.019922939999999997
dwconv-bn-relu_prior_GQE25Y.pt,7,11,11,5,1,0.014014,0.000286,0.01977894
dwconv-bn-relu_prior_GPCQLI.pt,7,115,115,3,2,0.0140875,0.00115,0.019547499999999995
dwconv-bn-relu_prior_0WAX3K.pt,7,119,119,3,2,0.0145775,0.00119,0.019744040000000004
dwconv-bn-relu_prior_D1D4Y9.pt,7,121,121,3,2,0.0148225,0.00121,0.01965962
dwconv-bn-relu_prior_KN9GQY.pt,7,31,31,3,1,0.01519,0.00031,0.0197482
dwconv-bn-relu_prior_E1Q0R1.pt,7,31,31,3,1,0.01519,0.00031,0.019610480000000003
dwconv-bn-relu_prior_XTSIGU.pt,7,31,31,3,1,0.01519,0.00031,0.01958478
dwconv-bn-relu_prior_XJAN4W.pt,7,124,124,3,2,0.01519,0.00124,0.019662660000000002
dwconv-bn-relu_prior_WFO192.pt,7,12,12,5,1,0.015288,0.000312,0.0196859
dwconv-bn-relu_prior_UPE805.pt,7,49,49,5,2,0.0156065,0.001274,0.019776020000000002
dwconv-bn-relu_prior_60YTN0.pt,7,129,129,3,2,0.0158025,0.00129,0.01988378
dwconv-bn-relu_prior_PNYF0U.pt,7,33,33,3,1,0.01617,0.00033,0.01978938
dwconv-bn-relu_prior_HR1C74.pt,7,33,33,3,1,0.01617,0.00033,0.019923100000000006
