model_path,HW,CIN,latency
global-avgpool_prior_7T15GB.pt,3,408,0.005134419999999998
global-avgpool_prior_QSU1IV.pt,3,146,0.0050778
global-avgpool_prior_836XYF.pt,7,1163,0.005098480000000001
global-avgpool_prior_U5ZNWI.pt,3,233,0.005171960000000001
global-avgpool_prior_EKBOPX.pt,7,106,0.00511074
global-avgpool_prior_RY406P.pt,7,30,0.005063539999999998
global-avgpool_prior_LG8HTU.pt,7,263,0.00510078
global-avgpool_prior_GMQF9H.pt,7,934,0.005060600000000002
global-avgpool_prior_ZZU3E5.pt,7,1262,0.00507366
global-avgpool_prior_GP4P8V.pt,7,159,0.0051379600000000004
global-avgpool_prior_GB0613.pt,7,395,0.00510156
global-avgpool_prior_NE9Z9J.pt,3,153,0.005065580000000001
global-avgpool_prior_DJJUWH.pt,3,271,0.0051337200000000005
global-avgpool_prior_QEL2TT.pt,3,759,0.005076360000000001
global-avgpool_prior_XYRCMI.pt,7,545,0.005107680000000001
global-avgpool_prior_R7JDQD.pt,7,517,0.00510148
global-avgpool_prior_ZBL37P.pt,3,25,0.005060600000000001
global-avgpool_prior_FX7Z0R.pt,3,60,0.005089640000000003
global-avgpool_prior_10VASA.pt,3,876,0.0051119999999999985
global-avgpool_prior_6H838A.pt,3,43,0.005174540000000001
global-avgpool_prior_I5AMBT.pt,7,206,0.0051951800000000015
global-avgpool_prior_3HGUP9.pt,7,185,0.005112299999999999
global-avgpool_prior_ENTSRF.pt,7,219,0.005116839999999999
global-avgpool_prior_QU3HD3.pt,7,217,0.00510026
global-avgpool_prior_MOHXXC.pt,7,151,0.005114019999999998
global-avgpool_prior_URLYZ6.pt,7,2047,0.00507464
global-avgpool_prior_DCLR8E.pt,3,516,0.0050786
global-avgpool_prior_LQ68CW.pt,3,85,0.005092880000000001
global-avgpool_prior_H2ZVIB.pt,7,148,0.005066900000000001
global-avgpool_prior_04KGIZ.pt,7,152,0.005083019999999999
global-avgpool_prior_VP4KRV.pt,7,3,0.005071139999999998
global-avgpool_prior_8TAWWB.pt,7,201,0.0051673199999999996
global-avgpool_prior_6WPPTS.pt,3,524,0.00510876
global-avgpool_prior_D079J7.pt,3,65,0.005113800000000002
global-avgpool_prior_G0803H.pt,3,500,0.0050938200000000015
global-avgpool_prior_WN8GHP.pt,7,51,0.005106619999999999
global-avgpool_prior_GIEF1F.pt,3,105,0.005289600000000001
global-avgpool_prior_5IE86I.pt,3,202,0.00521126
global-avgpool_prior_SSNQZS.pt,3,34,0.0051985799999999995
global-avgpool_prior_RK1T6B.pt,7,241,0.005178839999999999
global-avgpool_prior_TIWO8J.pt,3,138,0.0051274
global-avgpool_prior_QWL5CC.pt,3,131,0.005099500000000002
global-avgpool_prior_8Q292R.pt,3,681,0.00509722
global-avgpool_prior_SSLOX9.pt,7,253,0.005107480000000001
global-avgpool_prior_QR3WYN.pt,3,75,0.005089459999999999
global-avgpool_prior_89JMM5.pt,3,116,0.0050904
global-avgpool_prior_GFC02D.pt,7,85,0.005075200000000001
global-avgpool_prior_2P4ZHB.pt,3,122,0.00510136
global-avgpool_prior_55IJNC.pt,7,8,0.005102960000000001
global-avgpool_prior_TEJDVP.pt,7,76,0.005120240000000001
global-avgpool_prior_JZIS80.pt,3,200,0.005082639999999999
global-avgpool_prior_QDJTFW.pt,3,230,0.005135379999999999
global-avgpool_prior_QWN392.pt,3,441,0.005121459999999999
global-avgpool_prior_XNLYES.pt,3,260,0.006009280000000001
global-avgpool_prior_CB4BBX.pt,3,536,0.00521474
global-avgpool_prior_18DKCE.pt,7,171,0.0050703
global-avgpool_prior_21OGE4.pt,7,1027,0.005092239999999998
global-avgpool_prior_T0PZ1S.pt,3,11,0.005153219999999999
global-avgpool_prior_9UO3WW.pt,3,636,0.00562582
global-avgpool_prior_NDEUQA.pt,3,1006,0.0051077399999999995
global-avgpool_prior_C01KUY.pt,7,27,0.0050747399999999995
global-avgpool_prior_FLX7B3.pt,7,53,0.005105120000000001
global-avgpool_prior_E1DG0O.pt,7,492,0.005100159999999999
global-avgpool_prior_D7Y4PM.pt,3,1686,0.0051182200000000014
global-avgpool_prior_7Y5ANS.pt,7,18,0.00505728
global-avgpool_prior_QSTTCZ.pt,7,481,0.02980474
global-avgpool_prior_HJ5NNI.pt,3,660,0.00511132
global-avgpool_prior_LRUGST.pt,3,152,0.005404960000000001
global-avgpool_prior_0ARRHT.pt,3,201,0.005153340000000001
global-avgpool_prior_1S2ORZ.pt,7,149,0.005084040000000001
global-avgpool_prior_HKO1LR.pt,7,1281,0.00507912
global-avgpool_prior_0LIPLH.pt,3,794,0.005070519999999999
global-avgpool_prior_0YKGHY.pt,7,70,0.005099319999999999
global-avgpool_prior_7VGL3C.pt,3,504,0.005162320000000001
global-avgpool_prior_W2HPC4.pt,7,24,0.005104940000000001
global-avgpool_prior_T8SNIA.pt,7,105,0.005090960000000001
global-avgpool_prior_II6711.pt,3,1018,0.0050878
global-avgpool_prior_7KYC5H.pt,3,749,0.005092100000000003
global-avgpool_prior_E9U78Y.pt,7,1976,0.005084879999999999
global-avgpool_prior_70R65W.pt,7,3,0.00523446
global-avgpool_prior_ALQB0Z.pt,7,1669,0.00504472
global-avgpool_prior_PJS7FT.pt,3,670,0.00510772
global-avgpool_prior_0XDJ5Q.pt,3,491,0.00517718
global-avgpool_prior_A36J9U.pt,3,500,0.00509274
global-avgpool_prior_6E3TSN.pt,3,243,0.00507952
